name01#0,"""Pati"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
text01#0,"""......นี่ Pati จัง<br>ยัยพี่บ้า ส่งคำร้องออกไป<br>เองตามใจชอบอีกแล้วใช่มั้ย"""
text02#0,"""ก็ ชั้นเป็นนักให้ข้อมูลนี่นา<br>ถ้าไม่มีข้อมูลที่สดใหม่อยู่ตลอดเวลา<br>มันก็ไม่ได้จริงมั้ยล่า?"""
text03#0,"""แล้วเค้าคนนี้เองก็ตอบรับคำร้อง<br>ของชั้นมาเรียบร้อยแล้วด้วย!<br>จะทรยศต่อความหวังดีของเค้ารึไงอ่ะ!"""
text04#0,"""เอาเถอะ ชั้นเองก็ไม่ใช่ว่าจะไม่สนใจหรอกนะ<br>ถ้าคุณเห็นดีเห็นชอบด้วยล่ะก็......"""
11_voice_NPC_5013_101#0,"""จ้า ตัดสินใจได้แล้วนะ! ตกลงได้แล้วนะ!<br>ถ้างั้นก็ Pati & Tia ไปทัวร์ดาว Wopal กันเลย!<br>ออกเดินทางได้!"""
11_voice_NPC_5014_102#0,"""นี่ไม่ได้ไปเที่ยวเล่นนะ!<br>จำไว้ด้วยว่าพวกเราไปหาข่าว!"""
text01#1,"""……おいパティちゃん。<br>もといバカ姉。<br>また勝手に依頼出したでしょ。"""
text02#1,"""だってー、情報屋としてはさー<br>生のピチピチとした情報を<br>きちんと持っておかないとダメじゃん？"""
text03#1,"""この人だって、協力してくれる気が<br>あるから受注してくれたわけだし！<br>その好意はきちんと受け取らないと！"""
text04#1,"""まあ、興味が無かったわけではないし<br>あなたがいいんだったら……"""
11_voice_NPC_5013_101#1,"""はい決まり！\u3000決定ー！<br>それじゃそれじゃ、パティエンティアの<br>ウォパルツアー！\u3000はっじまっるよー！"""
11_voice_NPC_5014_102#1,"""遊びじゃないからね！<br>情報収集だからね！"""
