name01#0,"""Pati"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
text01#0,"""ขอบคุณมากนะคะที่มา<br>ถ้าไม่ว่าอะไร อยากให้ไปช่วยเก็บข้อมูล<br>กับ Patiจังให้หน่อยได้มั้ย"""
text02#0,"""พอดี Tia มีธุระต้องทำน่ะ<br>เลยกำลังมองหาอยู่ว่าจะมีใครไปด้วยมั้ยน้า...<br>แล้วเธอก็ดันโผล่มาพอดี !"""
text03#0,"""การหาข่าวของทีม Pati and Tia ไม่ใช่จะเอา<br>ใครจากไหนไม่รู้ไปด้วยก็ได้... แปลว่า <br>มีแต่เธอเท่านั้นที่ต้องไปกับชั้นนั่นเอง !"""
text04#0,"""ถามเค้าก่อนบ้างก็ได้นะว่าเค้าอยากไปด้วยรึเปล่า<br>...ว่าแต่ไหวจริงๆนะ Patiจัง?"""
11_voice_NPC_5013_100#0,"""โอเคอยู่แล้วน่า !<br>ไม่ต้องห่วงเลย Tia !<br>ไว้ใจชั้นกับเค้าได้เลย !"""
11_voice_NPC_5014_104#0,"""เปล่า ที่ชั้นห่วงคือจะไปสร้างความเสียหาย<br>ให้ใครรึเปล่าต่างหาก ...ขอโทษด้วยนะ <br>ฝากดูแลยัยพี่ติงต๊องของชั้นด้วยแล้วกัน"""
text01#1,"""依頼の受注、ありがとうございます。<br>なんでも、パティちゃんの自主的な<br>情報収集に付き合って欲しいそうで。"""
text02#1,"""ちょうどティアも用事があるし<br>いい相方を探してたんだよねー……<br>そこで、ずばり、アナタだよ！"""
text03#1,"""パティエンティアの情報収集は<br>誰にも気取られることなく行う……<br>つまり、あたしと二人きりだ！"""
text04#1,"""そのわりに人から話聞いたりするけど。<br>……本当に大丈夫なの、パティちゃん？"""
11_voice_NPC_5013_100#1,"""大丈夫大丈夫！<br>心配性だな－、ティアは！<br>あたしとこの人に任せなさい！"""
11_voice_NPC_5014_104#1,"""いや、私が心配してるのは周囲への<br>被害なんだけど……すみません<br>うちのバカ姉をよろしくお願いします。"""
