11_voice_NPC_5241_100#0,"""あ、あたしクララっていうの。<br>よろしくね！"""
Skit01_020#0,"""実はここに、一緒に任務とか<br>探索をしてくれたりする<br>仲間を探しに来たんだ！"""
Skit01_030#0,"""もしよかったら<br>いろいろ手伝ってくれると<br>嬉しいな！"""
11_voice_NPC_5241_101#0,"""えへへ、あのねー！<br>実は仲間が増えたんだ！"""
Skit02_020#0,"""あなたにお手伝いを頼んだくらいに<br>ちょうど知り合ったっていうか……<br>見つけたっていうか……！"""
Skit02_030#0,"""ぜーったい仲間になってほしいなって<br>思ったから頼み込んだの！<br>ようやくオッケーしてくれたんだ！"""
Skit02_040#0,"""名前は、ニクスっていうの！<br>ちょっぴり変わってるけど<br>実力は確かだから仲良くしてね！"""
11_voice_NPC_5241_100#1,"""もう一人、仲間が増えたよ！<br>美人できれいなお姉さん！<br>実力もすっごいんだよ！"""
Skit03_020#0,"""ちょうど調査をしてる時にね<br>見つけて……もう、一目惚れしたの！"""
Skit03_030#0,"""すっごく頼りになるんだもん！<br>お願いって頼み込んだら<br>しょうがないわねって言ってくれたの！"""
Skit03_040#0,"""名前はキジカっていうんだよ。<br>素敵なお姉さんだから<br>仲良くしてね！"""
Skit04_010#0,"""誰かと一緒に任務したり<br>探索したりするのって<br>やっぱり嬉しいよね！"""
11_voice_NPC_5241_100#2,"""人それぞれだけど<br>あたしは、誰かと一緒のほうが<br>楽しくて好きなんだ！"""
