NAME#0,"""安娜莉絲"""
NICKNAME#0,"""任務櫃台人員"""
NAME#1,"""アンネリーゼ"""
NICKNAME#1,"""クエストカウンター係員"""
HELLO#0,"""要選擇哪一項任務？"""
HELLO_FAV0#0,"""要選擇哪一項任務？"""
HELLO_FAV1#0,"""要選擇哪一項任務？"""
HELLO_FAV2#0,"""要選擇哪一項任務？"""
HELLO_FAV3#0,"""要選擇哪一項任務？"""
HELLO_FAV4#0,"""要選擇哪一項任務？"""
Q0#0,"""要選擇哪一項任務？"""
TALK_BYE_QUEST#0,"""出發執行任務時<br>請從右邊的星際之門<br>搭乘營地小船"""
GOODBYE#0,"""期待您下次光臨"""
GOODBYE_FAV0#0,"""期待您下次光臨"""
GOODBYE_FAV1#0,"""期待您下次光臨"""
GOODBYE_FAV2#0,"""期待您下次光臨"""
GOODBYE_FAV3#0,"""期待您下次光臨"""
GOODBYE_FAV4#0,"""期待您下次光臨"""
HELLO#1,"""どのクエストにしますか？"""
HELLO_FAV0#1,"""どのクエストにしますか？"""
HELLO_FAV1#1,"""どのクエストにしますか？"""
HELLO_FAV2#1,"""どのクエストにしますか？"""
HELLO_FAV3#1,"""どのクエストにしますか？"""
HELLO_FAV4#1,"""どのクエストにしますか？"""
Q0#1,"""どのクエストにしますか？"""
TALK_BYE_QUEST#1,"""クエストへ出発される際は<br>右側のスペースゲートから<br>キャンプシップへお乗りください"""
GOODBYE#1,"""またのご利用をお待ちしています"""
GOODBYE_FAV0#1,"""またのご利用をお待ちしています"""
GOODBYE_FAV1#1,"""またのご利用をお待ちしています"""
GOODBYE_FAV2#1,"""またのご利用をお待ちしています"""
GOODBYE_FAV3#1,"""またのご利用をお待ちしています"""
GOODBYE_FAV4#1,"""またのご利用をお待ちしています"""
00_01#0,"""選項1"""
00_02#0,"""選項2"""
TALK_ST#0,"""對話"""
C_ORDER_ST#0,"""商量"""
00_01#1,"""選択肢その１"""
00_02#1,"""選択肢その２"""
TALK_ST#1,"""会話する"""
C_ORDER_ST#1,"""相談を聞く"""
