un_063050_0001#0,"""A.P.242/3/16"""
un_063050_0010#0,"""……おい、お前。<br>こんな所に俺たちを連れてきて<br>どういうつもりだ？"""
un_063050_0020#0,"""キョーくん、失礼でしょ！<br>せっかく、<%me>さんが<br>誘ってくださったの……に……"""
un_063050_0030#0,"""なっ、お前……！？"""
un_063050_0040#0,"""……ルコ？<br>ルコ……だよね……？"""
un_063050_0050#0,"""……はいですの。"""
un_063050_0060#0,"""ストラトス、キョーさん……<br>お久しぶり……ですの。"""
un_063050_0070#0,"""ルコだ……！<br>やっぱり、生きてたんだ……！"""
un_063050_0080#0,"""ストラトス……<br>わたくし、本当に長い間……<br>あなた方を待たせてしまって……"""
un_063050_0090#0,"""待った……待ったよ……！<br>何時間も、何日も、何ヶ月も、何年も！<br>今まで、ずっと……うわーん！"""
un_063050_0100#0,"""……データベースからも<br>死亡扱いの記録が取り消されている。<br>復帰したってのか……アークスに。"""
un_063050_0110#0,"""……ルコット。"""
un_063050_0120#0,"""お前……<br>どのツラ下げて……帰ってきた。"""
un_063050_0130#0,"""自分が、何をしたのか……<br>わかっているのか？"""
un_063050_0140#0,"""仲間だった俺とストラトスに<br>どれほど非道い仕打ちをしたか……<br>わかっているのか！"""
un_063050_0150#0,"""……はいですの。<br>お二人の心を深く傷つけたこと……<br>許されるとは思っていません。"""
un_063050_0160#0,"""それでも、わたくしは……<br>謝りたいんですの。<br>二人とも大切な、友達、ですから……"""
un_063050_0170#0,"""ふざけるな……！<br>言うに事欠いて、友達だと！？"""
un_063050_0180#0,"""ならば、なぜ今まで<br>連絡ひとつ寄越さなかった！<br>理由を言え！"""
un_063050_0190#0,"""ありがとう、キョーくん。<br>でも……大丈夫です。"""
un_063050_0200#0,"""帰ってきてくれただけで<br>嬉しくて……過去のことなんて<br>ぜんぶ、吹っ飛びましたから！"""
un_063050_0210#0,"""……聞かないんですの？<br>わたくしが、あんなことをした理由を。<br>何年も連絡しなかった、理由を……"""
un_063050_0220#0,"""はい……いいんです。<br>言いたくないこと……なんですよね？<br>なら、聞きません。友達ですから！"""
un_063050_0230#0,"""うう……<br>ありがとう、ストラトス……<br>ごめんなさいですのー！"""
un_063050_0240#0,"""……くだらんな。"""
un_063050_0250#0,"""そうですの！\u3000久しぶりに<br>クッキーを焼いてきましたの。<br>さあ、ストラトス。"""
un_063050_0260#0,"""わあ、懐かしい！<br>「仲直りクッキー」ですね！<br>キョーくん、ほら……"""
un_063050_0270#0,"""キョーくん……！<br>何てことするんですか！"""
un_063050_0280#0,"""フン……<br>仲良しごっこも大概にしろ。<br>さらばだ。"""
un_063050_0290#0,"""……キョーさん。"""
un_063050_0300#0,"""ごめんなさい！<br>せっかく、ルコが焼いてくれたのに。<br>キョーくんを、許してください……"""
un_063050_0310#0,"""また、焼いてきてくださいね。<br>今度は三人で、仲良く食べましょう！<br>友達ですから！"""
un_063050_0320#0,"""……わかりましたわ。<br>ありがとうですの、ストラトス。"""
un_063050_0330#0,"""マスターのおかげで<br>ストラトスと仲直りできましたの。<br>本当に、ありがとうですの。"""
un_063050_0340#0,"""キョーさんとも……<br>いつか、かならず……"""
un_063050_0350#0,"""さあ、ルコ！<br>床のお掃除、しちゃいましょう！"""
un_063050_0360#0,"""はいですの！"""
