name01#0,"""シエラ"""
text01#0,"""タリスの一部ＰＡでは、<red>発動後も<br>効果が残り続ける<c>ものがあります！<br>「ジェットホイール」もそうです。"""
text02#0,"""また「ダイブオブバレット」のように<br>ツインマシンガンなどの<red>特定武器に<br>持ち替えられるＰＡ<c>もあります！"""
text03#0,"""タリスの「ジェットホイール」を発動後に<br><red>「ダイブオブバレット」を発動させ長押し<c>し<br>ツインマシンガンに持ち替えてください。"""
text101#0,"""課題６：<yellow>タリスの派生アクションとPAを組み合わせて発動させる"""
train_title#0,"""課題６：<yellow>タリスの派生アクションとPAを組み合わせて発動させる"""
tut_title#0,"""タリスの派生アクションについて"""
text100#0,"""・<%NormalAttack>でタリスの「ジェットホイール」を発動する<br>・「ジェットホイール」発動中に<br>\u3000<%PhotonArts>で「ダイブオブバレット」を長押しする"""
text100_3b#0,"""・<%PhotonArts>でタリスの「ジェットホイール」を発動する<br>・「ジェットホイール」発動中に<br>\u3000<%MainPaletteC>で「ダイブオブバレット」を長押しする"""
tut_win_title#0,"""『武器切り替えＰＡ』について"""
tut_win_text100#0,"""ヒーローの各武器種には他の武器種への<br>武器切り替えＰＡが用意されています。<br><br>武器切り替えＰＡは各武器種に用意されており<br>それぞれ別々の武器種へ切り替えられます。<br><br>武器の切り替えはＰＡ使用時に<br>ボタンを長押しすることで行われます。<br>短く押した場合は通常のＰＡと同じように<br>武器を切り替えずに使用することができます。"""
