msc_027140_0010#0,"""このなかに、<br>ゼフェットの……えーと、身体が？"""
msc_027140_0020#0,"""……いや。"""
msc_027140_0030#0,"""このなかにあるのは、<br>4thクローンの素体。"""
msc_027140_0040#0,"""戦闘データの記録が終わり、<br>“精神”の定着を行っていない状態にある。"""
msc_027140_0050#0,"""なにを言っているの？"""
msc_027140_0060#0,"""まさか、また私たちを、<br>なにかの実験の一部に……？"""
msc_027140_0070#0,"""……そうではない。"""
msc_027140_0080#0,"""私の身体は……先の戦いで、<br>完全に失われた……。"""
msc_027140_0090#0,"""……え？"""
msc_027140_0100#0,"""お前たちとの戦いのあとに、<br>襲来したスターレスの尖兵。"""
msc_027140_0110#0,"""その駆逐には成功したが、<br>私のボディも修復不能なほどの損傷を受けた。"""
msc_027140_0120#0,"""そこで、私は力を使い、<br>精神をファリアの身体に移したのだ。"""
msc_027140_0130#0,"""じゃあ、今までずっと、<br>あなたはファリアのなかにいたってこと？"""
msc_027140_0140#0,"""そうだ。"""
msc_027140_0150#0,"""………。"""
msc_027140_0160#0,"""最初から、<br>ここに私たちを導くのが目的だったのね？"""
msc_027140_0170#0,"""ああ。"""
msc_027140_0180#0,"""今度の狙いはなに？"""
msc_027140_0190#0,"""私の精神を、<br>4thクローンに移す。"""
msc_027140_0200#0,"""それで、リサージェントアークスの総督に戻ると？"""
msc_027140_0210#0,"""スターレスとの戦いに、<br>終止符を打つために戦うのだ。"""
msc_027140_0220#0,"""4thクローンは、<br>909、お前の力をフィードバックした存在だ。"""
msc_027140_0230#0,"""そこには、これまでのあらゆる戦いの記録も、<br>収められている。"""
msc_027140_0240#0,"""最強のアークスを超えるアークスが誕生するのだ。"""
msc_027140_0250#0,"""……それは、確かなの？"""
msc_027140_0260#0,"""……やってみなければわからない。"""
msc_027140_0270#0,"""だったらもっと、データをそろえて……。"""
msc_027140_0280#0,"""時間がないのだ！"""
msc_027140_0290#0,"""私が、この身体のなかにいられる時間は、<br>そう長くはない。"""
msc_027140_0300#0,"""精神を定着させる<br>依り代が必要だ。"""
msc_027140_0310#0,"""……そんな。"""
msc_027140_0320#0,"""ファリア、手順は理解しているな？"""
msc_027140_0330#0,"""はい。"""
msc_027140_0340#0,"""では、始めるぞ。"""
msc_027140_0350#0,"""こんな力が……存在するなんて。"""
msc_027140_0360#0,"""よし……いいぞ……。"""
msc_027140_0370#0,"""スターレス!?"""
msc_027140_0380#0,"""ここまで来るとは……。"""
msc_027140_0390#0,"""時間を稼ぐよ。"""
msc_027140_0400#0,"""これまでの責任はとってもらう。"""
msc_027140_0410#0,"""……そうか。"""
msc_027140_0420#0,"""……ああ。<br>もちろんだ。"""
msc_027140_0430#0,"""３人だけで、戦うのは久しぶりだね。"""
msc_027140_0440#0,"""ええ、そうね。"""
