ra_010630_0010#0,"""เฮ้ ได้ยินรึยังได้ยินรึยัง?<br>รู้สึกว่าจะมีคนที่ไปดาว Naberius<br>แล้วหายสาบสูญไปอยู่ด้วยล่ะ"""
ra_010630_0020#0,"""ได้ยินว่า เพราะหมอนั่นอยากที่จะไป<br>ตรวจสอบก็เลยไปดึงดันขออนุญาตมา"""
ra_010630_0030#0,"""ARKS ก็ไม่ใช่ ไม่ยั้งคิดเลยจริงๆ ......<br>ยังไงซะก็คงมันแต่สนใจเรื่องตรวจสอบ<br>มากเกินไปจนทำอะไรวู่วามๆ ลงไปล่ะมั้ง"""
ra_010630_0040#0,"""ถึงแม้ดูเหมือนว่าจะแค่ไปสำรวจก็เถอะ<br>แต่พูดตรงๆ มันก็น่าจะแย่อยู่<br>เพราะหมอนั่นเป็นแค่นักวิชาการไม่ใช่ ARKS นะ?"""
ra_010630_0050#0,"""นี่ไปตรวจสอบเรื่องอะไรกันแน่น้า......"""
ra_010630_0060#0,"""A.P.238/3/27"""
ra_010630_0010#1,"""おい、聞いたか聞いたか？<br>なんか、ナベリウスで行方不明に<br>なっちゃったやつがいるらしいぜ。"""
ra_010630_0020#1,"""なんでも、調査したいからって<br>ゴリ押しして許可をもらったんだと。"""
ra_010630_0030#1,"""アークスでもないのに無茶すっから……<br>どうせ、調査に夢中になるあまり<br>無茶とかしちゃったんだろうな。"""
ra_010630_0040#1,"""捜索はしてるみたいだけど<br>まあ、正直キビしいだろ。<br>アークスじゃなくて、ただの学者だぜ？"""
ra_010630_0050#1,"""一体、何を調べてたんだかねぇ……"""
ra_010630_0060#1,"""A.P.238/3/27"""
