name01#0,"""シエラ"""
text01#0,"""スキル「ダークネスウォール」は<br>エネミーの行動に影響を与える<br>特殊なスキルです。"""
text02#0,"""「ダークネスウォール」を使用すると<br><red>エネミーの注意を引き付けて<c><br>侵攻を遅らせる事ができちゃいます！"""
text101#0,"""課題４：<yellow>「ダークネスウォール」を使用して<br>エネミーの注意を引き付ける"""
train_title#0,"""課題４：<yellow>「ダークネスウォール」を使用して<br>エネミーの注意を引き付ける"""
tut_title#0,"""ダークネスウォールの使用について"""
text100#0,"""・<%SubPalette1>でダークネスウォールを発動"""
text101#1,"""・<%SubPaletteLeft><%SubPaletteRight>でサブパレット選択変更<br>・<%SubPalette>でダークネスウォールを発動"""
text100_v#0,"""・サブパレットから<br>\u3000ダークネスウォールを選択"""
tut_win_title#0,"""『ダークネスウォール』について"""
tut_win_text100#0,"""エルダーフォームのスキル<br><c ffff00>「ダークネスウォール」<c>について説明します。<br><br>ダークネスウォールは、自分の前方に<br>巨大なフォトンの壁を展開するスキルです。<br><br>この壁が展開している間<br>壁に近づいたエネミーは<br>壁に吸い寄せられるようになります。"""
