name01#0,"""Astalte"""
text01#0,"""จะทำการส่งมอบ Support Partner ให้นะ"""
text02#0,"""ถ้าให้อธิบายก็คงจะยาว<br>เราจึงเตรียมคู่มือการใช้ไว้แล้ว<br>ขอให้อ่านด้วยตัวเองนะ"""
text03#0,"""ขอบคุณมาก<br>คู่มือการใช้มีเพียงเท่านี้<br>ไว้พบกันใหม่"""
name01#1,"""アスタルテ"""
text01#1,"""サポートパートナー<br>授与手続きですね。"""
text02#1,"""口頭では少々長くなりそうですので<br>詳細なガイダンスを準備しました。<br>こちらをご覧下さい。"""
text03#1,"""お疲れ様でした。<br>以上でガイダンスは終了です。<br>それでは、よろしくお願いします。"""
text00#0,"""เกี่ยวกับ [Support Partner]"""
text01#2,"""Support Partner มีไว้เพื่อช่วยให้ท่านสามารถปฏิบัติภารกิจต่างได้อย่างอุ่นใจยิ่งขึ้น<br><br>ลักษณะเฉพาะคือรูปร่างจะเล็กกว่าคนปกติ"""
text02#2,"""Support Partner นั้น<br>สามารถช่วยทำ Client Order ให้ท่านได้บางส่วน<br>หากท่านสั่งให้ Support Partner ไปทำภารกิจ<br>Support Partner ก็จะไปทำภารกิจตามที่ท่านสั่ง<br><br>และเมื่อภารกิจเสร็จสิ้น ก็จะกลับมารายงาน<br>ยิ่งส่งไปทำภารกิจมากเท่าไหร่ ค่าพลังและเลเวลของ Support Partner ก็จะยิ่งเพิ่มขึ้น<br>และอัตราที่จะสามารถทำภารกิจยากๆได้สำเร็จก็จะยิ่งสูงขึ้น"""
text03#2,"""ท่านสามารถเปลี่ยนรูปร่างหน้าตาของ SupportPartner ได้ที Salon<br>ท่านสามารถเปลี่ยนรายละเอียดต่างๆได้ตามปกติทุกประการ<br><br>ส่วนการเปลี่ยนทรงผมหรือเครื่องประดับนั้น<br>รูปแบบที่เปลี่ยนได้จะเท่ากับที่ตัวละครหลักของคุณเคยใช้ Ticket ปลดล็อกเอาไว้<br>(สามารถเปลี่ยนเป็นทรงผมที่ไม่ตรงกับเพศได้)"""
text04#0,"""ท่านสามารถเรียก Support Partner ออกมาได้ด้วย [เครื่องเรียก Partner]<br>เหมือนตอนที่เรียก Partner Character หรือ Friend Partner<br>เพื่อไปทำภารกิจร่วมกันได้<br><br>และพฤติกรรมของ Support Partner<br>จะเปลี่ยนแปลงไปตามนิสัย ณ ขณะนั้น"""
text00#1,"""『サポートパートナー』について"""
text01#3,"""サポートパートナーは、<br>戦闘やクライアントオーダーなどを<br>手伝ってくれる心強い存在です。<br><br>全体的に体つきが小さいところが特徴です。"""
text02#3,"""サポートパートナーは、<br>一部のクライアントオーダーの<br>手助けをしてくれます。<br>クライアントオーダーの手助けをお願いすると、<br>サポートパートナーは目的達成のため<br>探索にでかけます。<br><br>探索を終えると、その成果の報告をしてくれます。<br>探索を繰り返すことでサポートパートナーの<br>クラスレベルが上がり、より難しいオーダーを<br>成功させやすくなり、戦闘でも大きな戦力と<br>なっていきます。"""
text03#3,"""サポートパートナーの姿はエステで<br>変更することができます。<br>変更できる項目はプレイヤーキャラクターと<br>同じです。<br><br>アクセサリーや髪型は、<br>プレイヤーキャラクターと共有となっているため、<br>各チケットの使用により増えていきます。<br>（異性の髪型なども使用できるようになっています）<br>"""
text04#1,"""パートナーキャラクターやフレンドパートナーと<br>同じようにキャンプシップの<br>「パートナー呼び出し端末」から、<br>サポートパートナーを呼び出し、<br>一緒に戦うこともできます。<br><br>サポートパートナーの行動は、<br>その時の性格により変化します。"""
