text00#0,"""關於瑪古裝備的用法"""
text01#0,"""說明瑪古裝備的用法。<br><br>取得瑪古後，<br>如果不裝備就沒效果。<br>從菜單顯示的瑪古列表，<br>選擇任何瑪古並選取「裝備」。<br><br>瑪古裝備完成，<br>即可達到補正能力值，<br>或是戰鬥支援等各種效果。<br><br><red>再餵瑪古東西前，請在徹底瞭解瑪古系統後再進行。可以諮詢資深玩家或者google查詢。<c>"""
11_voice_NPC_5050_101#0,"""是的，接到報告。<br>證明頒發的申請也不會遲延。<br>期待你有更上一層樓的發展。"""
text02#0,"""......嗯啊！規定的報告文<br>被這種感覺束縛著。<br>因此，現在該我說了。"""
text03#0,"""瑪古會獨自思考、行動。<br>這並不是一律化<br>而是體諒所有者的想法，成長。"""
text04#0,"""關於瑪古的養成，我雖然不知道原因，<br>但ARKS的某人<br>應該知道詳細的情況吧！"""
text05#0,"""總之，以後瑪古<br>和你生死與共。<br>請一定要小心的珍惜他。"""
linewindow0001#0,"""得到「瑪古證照」。"""
text100#0,"""關於『委託』"""
text101#0,"""艾可有了委託。<br><br>艾可位在出發區－ARKS櫃台。"""
tutorial02#0,"""漢斯有了委託。<br><br>漢斯位在出發區－西任務櫃台前。"""
tutorial03#0,"""愛美蘭有了委託。<br><br>愛美蘭位在商店區－紀念碑廣場。"""
tutorial04#0,"""イオに<br>クライアントオーダーが<br>発生しました。<br><br>イオは<br>ショップエリア・モニュメント広場にいます。"""
