un_020320_0010#0,"""......มีอะไรเหรอไง ทำไมจู่ๆ <br>ถึงจ้องชั้นแบบนั้น<br>มีอะไรแปลกงั้นเหรอ?"""
un_020320_0020#0,"""1. เปลี่ยนทรงผมใหม่สินะ?"""
un_020320_0030#0,"""2. เปลี่ยนชุดใหม่เหรอ?"""
un_020320_0040#0,"""เอ๋!? เอ่อ.. อืม......<br>ชั้นเปลี่ยนตรงที่มัดหน่อยนึงน่ะ<br>จะเรียกว่าเปลี่ยนบรรยากาศก็ได้มั้ง......"""
un_020320_0050#0,"""......ดูแปลกจริงๆ ด้วยสินะ แบบนี้น่ะ<br>โทษทีๆ เจอกันคราวหน้า<br>ชั้นจะเปลี่ยนกลับก็แล้วกันนะ!"""
un_020320_0060#0,"""ไม่ใช่อย่างนั้นซักหน่อย...... งั้นเหรอ<br>พูดจริงรึเปล่า?<br>......คิกคิก อืม ช่างเถอะ"""
un_020320_0070#0,"""ขอบคุณที่สังเกตเห็นนะ<br>ถ้าไม่มีใครสังเกตล่ะก็ที่อุตส่าห์ทำผม<br>สวยๆ มาก็คงจะไม่มีประโยชน์อะไร"""
un_020320_0080#0,"""อ๊ะ ไม่ใช่สิ! ไม่ใช่ทำผมสวยๆ นะ!<br>แค่เปลี่ยนบรรยากาศน ใช่ๆ ก็แค่เปลี่ยน<br>บรรยากาศน่ะ! งะ งั้นชั้นไปก่อนนะ!"""
un_020320_0090#0,"""ชุดเหรอ? เปล่านี่ ไม่ได้เปลี่ยนซะหน่อย?<br>ที่เปลี่ยนน่ะทรงผมต่างหากล่ะ ทรงผม"""
un_020320_0100#0,"""เฮ้อ.... แย่จริงๆ เลยเป็นคนที่ไม่เข้าใจ<br>จิตใจของผู้หญิงเอาซะเลยนะ เธอน่ะ"""
un_020320_0110#0,"""แต่เอาเถอะ ยังไงก็ไม่เกี่ยวกับชั้นอยู่แล้ว<br>จะเป็นยังไงก็ช่างเถอะ......"""
un_020320_0010#1,"""……どうしたの、あたしのことを<br>そんなじろじろと見て。<br>なにかおかしなとこでもある？"""
un_020320_0020#1,"""１．髪型、変えたんだね？"""
un_020320_0030#1,"""２．服装変えた？"""
un_020320_0040#1,"""うえっ！？\u3000ああ、うん……<br>まあ、ちょっと、気分転換というか<br>結わえるところを変えた、けど……"""
un_020320_0050#1,"""……やっぱヘンよね、こんなの。<br>ごめんごめん、次会う時までに<br>直しておくから！"""
un_020320_0060#1,"""そんなことない……って<br>それ本気で言ってる？<br>……ふふ、まあいいか。"""
un_020320_0070#1,"""気付いてくれてありがと。<br>誰かに気付いてもらえないと<br>おしゃれする甲斐もないからね。"""
un_020320_0080#1,"""って違う！\u3000おしゃれじゃない！<br>気分転換、そう、気分転換だった！<br>そ、それじゃっ！"""
un_020320_0090#1,"""服？\u3000別に変えてないけど？<br>変えたのは髪型よ、髪型。"""
un_020320_0100#1,"""はぁ……まったく、女心を<br>理解してくれないひとね、あなた。"""
un_020320_0110#1,"""ま、あたしには関係ないし<br>どーでもいーけどさー……"""
