linewindow#0,"""เกี่ยวกับ [Debilitate Bullet]"""
text00#0,"""เกี่ยวกับ [Debilitate Bullet]"""
text01#0,"""อธิบายเกี่ยวกับ Skill [Debilitate Bullet]<br><br>สกิล [Debilitate Bullet] ของ Ranger <br>จะเป็นการยิงกระสุนพิเศษที่ทำให้ศัตรูอ่อนแอลง<br>เมื่อท่านได้เรียน Debilitate Bullet แล้วกรุณาเพิ่มเข้าไปใน Sub-Palette เพื่อลองใช้ดู"""
text02#0,"""การใช้ Debilitate Bullet จะต้องใช้กระสุนพิเศษ และท่านสามารถยิงได้<br>ด้วยการโจมตีธรรมดา เมื่อยิง Hostile ด้วยกระสุนนี้ ก็จะปรากฏสัญลักษณ์แสดง <br>Weak Point ขึ้นที่บนตัวของ Hostile<br>สำหรับ Ranger ที่มีหน้าที่กำจัด Hostile ให้สิ้น และทำให้สมาชิกในปาร์ตี้ปลอดภัยแล้ว <br>นี่ถือเป็น Skill ที่มีประโยชน์มาก"""
text101#0,"""ไม่ว่าจะเป็น ARKS ที่ยอดเยี่ยมแค่ไหน<br>ก็ไม่มีทางหรอกที่จะสามารถใช้อาวุธใหญ่ๆ<br>ได้ดีตั้งแต่แรก"""
text102#0,"""จงอย่ารีบร้อนสร้างผลงาน และค่อยๆ ใช้มันให้ชินเถอะ!"""
linewindow#1,"""<br>『ウィークバレット』について<br>"""
text00#1,"""『ウィークバレット』について"""
text01#1,"""スキル「ウィークバレット」について、説明します。<br><br>レンジャーのスキルであるウィークバレットは、<br>敵を脆弱化させる弾を発射する、特殊なバレットです。<br>習得したウィークバレットは、サブパレットに登録して使用します。"""
text02#1,"""ウィークバレットを発動すると、脆弱化弾が一定数装填され<br>通常攻撃を行うと発射が可能です。脆弱化弾がヒットしたエネミーには<br>ウィークポイントを示すマークが表示されます。<br>エネミーの脅威を排除し、パーティーの安全を確保する役目を担う<br>レンジャーにとって、非常に有効なスキルといえます。"""
text101#1,"""どんなに優秀なアークスでも最初から<br>大型武器をうまく使いこなすことなど<br>まず、あり得ない。"""
text102#1,"""功を焦らず、まずは慣れたまえ！"""
