name01#0,"""オーザ"""
name02#0,"""マールー"""
name03#0,"""リサ"""
name04#0,"""アフィン"""
name05#0,"""パティ"""
name06#0,"""ティア"""
name07#0,"""サラ"""
skit01#0,"""む？<br>今、茂みの陰に何かが居たな？"""
skit02#0,"""……今、茂みの中に<br>何か居たような気がする。"""
skit03#0,"""ふふふ、あれで隠れてる<br>つもりなんですかねえ？<br>茂みの中に、誰かいませんかあ？"""
skit04#0,"""おっ、なんだ？<br>あの茂み、今動かなかったか？"""
skit05#0,"""んー、なにやらヘンな気配……<br>どこだー？\u3000どこからだー？"""
skit06#0,"""あの茂みの陰じゃないかな。<br>さっき、ちょっと動いてたし。"""
skit07#0,"""……この気配、そこの茂みかしら？<br>あんまり大物じゃなさそうだけど。"""
skit01#1,"""/ci2 2 む？<br>今、茂みの陰に何かが居たな？"""
skit02#1,"""/ci2 2 ……今、茂みの中に<br>何か居たような気がする。"""
skit03#1,"""/ci2 2 ふふふ、あれで隠れてる<br>つもりなんですかねえ？<br>茂みの中に、誰かいませんかあ？"""
skit04#1,"""/ci2 2 おっ、なんだ？<br>あの茂み、今動かなかったか？"""
skit05#1,"""/ci2 2 んー、なにやらヘンな気配……<br>どこだー？\u3000どこからだー？"""
skit06#1,"""/ci2 2 あの茂みの陰じゃないかな。<br>さっき、ちょっと動いてたし。"""
skit07#1,"""/ci2 2 ……この気配、そこの茂みかしら？<br>あんまり大物じゃなさそうだけど。"""
