Title#0,"""Coastal Area Ecological Survey"""
Explanation#0,"""ยืนยันว่ามีการพบ Sea Kings ที่ดุร้ายอยู่มาก<br>ที่บริเวณ Undersea บนดาว Wopal<br>หากปล่อยไว้อาจส่งพบกระทบต่อระบบนิเวศของ<br>ดาวในระยะยาวได้ขอให้ ARKS ที่มีความพร้อม <br>จงไปกำจัดเผ่า Sea Kings ที่บ้าคลั่งกลับ<br>เพื่อให้ Undersea กลับสู่ความเป็นปกติ<br>-----------------------------------------------------<br>เมื่อกำจัด Sea Kings จะได้รับ Quest Point<br>ภารกิจจะเสร็จสิ้นเมื่อสะสม Quest Point ได้ครบ [250]"""
Title#1,"""海底地域生態調査"""
Explanation#1,"""惑星ウォパルの海底エリアにて<br>極端に凶暴化した海王種が確認された。<br>アークスに対する敵愾心も非常に強く<br>放っておけば大きな被害が生まれるだろう。<br>アークス各員は準備が出来次第出撃し<br>凶暴化し、襲撃してくる海王種を撃退。<br>海底エリアの平定と調査につとめよ。<br>――――――――――――――――――――<br>クエストポイント【250】達成でクリア<br>主に海王種の撃破でポイント獲得"""
SimpleExplanation#0,"""กำจัด Sea Kings<br>และรวบรวม Quest Point!"""
SimpleExplanation#1,"""海王種を撃退し<br>クエストポイントをためろ！"""
a1#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a2#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
