IncidentName#0,"""水上艦の動力源を破壊しろ！"""
TrialBeginMsg#0,"""敵勢力を撃破の後<br>水上艦に乗り込み、動力源を破壊せよ！"""
TrialAbstract#0,"""敵勢力を撃破の後<br>水上艦に乗り込み、動力源を破壊せよ！"""
NpcComOnBegin#0,"""ち、水上艦が現れたか。<br>放っておけば、一方的に砲撃され<br>面倒なことになる、早急に対処しろ。"""
NpcComOnCannonBreak#0,"""今、そちらにカタパルトを転送した。<br>それを利用して、水上艦に乗り込み<br>動力源を破壊しろ。"""
NpcComOnSuccess#0,"""水上艦の沈黙を確認。<br>これで砲撃も止まるだろう。<br>よくやったな。"""
NpcComOnFailure#0,"""ようやくエネルギーが<br>尽きたようだな……<br>仕方がない、通常任務に戻れ。"""
NpcComOnBegin#1,"""水上艦の出現を確認。<br>一方的な砲撃を受け続けるのは危険。<br>早急な対処を求めます。"""
NpcComOnCannonBreak#1,"""カタパルトの転送完了。<br>それを利用し、水上艦へ突入。<br>その後、動力源を破壊して下さい。"""
NpcComOnSuccess#1,"""水上艦の動力破壊を確認。<br>見事な手際です。"""
NpcComOnFailure#1,"""エネルギー残量ゼロによる<br>対象の自動停止を確認。<br>各員、通常任務へ戻ってください。 """
