st_055030_0010#0,"""……ヴァルナさん、大丈夫ですか？"""
st_055030_0020#0,"""……心配は無用。<br>受け入れがたいが、受け入れるしかない。<br>ルーサー様の乱心を。"""
st_055030_0030#0,"""ハリエット様の失踪は秘密にしてある。<br>それを明らかにしようものなら<br>我が国の土台がたちまち崩れてしまう。"""
st_055030_0040#0,"""ゆえに、その捜索は<br>秘密裏に進める必要がある。<br>わかるな、守護輝士殿。"""
st_055030_0050#0,"""現場を見た、私たちだけで<br>なんとかするしかないってことですね。"""
st_055030_0060#0,"""行き先のあてなど、わかりますか？"""
st_055030_0070#0,"""ルーサー様は元より秘密主義の方。<br>ハリエット様ならまだしも、僕では<br>皆目見当もつかない。"""
st_055030_0080#0,"""だが……移動の痕跡は見つかった。"""
st_055030_0090#0,"""このクエント新首都から北東の山脈に<br>未確認の魔神城が召喚されている。"""
st_055030_0100#0,"""翼を生やした見知らぬ魔物種を<br>生み出すという報告もあった。<br>これはおそらく……"""
st_055030_0110#0,"""ルーサーが移動しながら召喚した魔神城。"""
st_055030_0120#0,"""僕は、ハリエット様の副官。<br>王の不在を悟られないように<br>執務を回さねばならない。"""
st_055030_0130#0,"""……頼めるか、守護輝士殿。"""
st_055030_0140#0,"""必ず助けてくる"""
st_055030_0150#0,"""お互いに頑張ろう"""
st_055030_0160#0,"""……よろしく、お願いします。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
