name_7661#0,"""巴西尼雅|バシニア"""
ssq_013020_0010#0,"""辛苦你了。<br>看來你成功攻略掉了塔呀。真是太了不起了。"""
ssq_013020_0020#0,"""在塔中能獲得的訓練效果比繭要高，<br>你要是找到了其他的，就去挑戰一下吧。"""
ssq_013020_0030#0,"""記得到時候，<br>也要先扎扎實實地提升好戰鬥力之後再去哦。"""
ssq_013020_0035#0,"""啊，對了。<br>說到這戰鬥力啊……"""
ssq_013020_0040#0,"""要是戰鬥力不夠，<br>有一些緊急作戰，你也是參加不了的哦。"""
ssq_013020_0050#0,"""為了以防萬一，我覺得你還是提升一下戰鬥力比較好。<br>那今後也要加油哦。"""
ssq_013020_0201#0,"""欸等等，你這不是已經把塔都攻略完了嘛？"""
ssq_013020_0202#0,"""你早點說嘛，你這讓我多難為情呀。"""
ssq_013020_0203#0,"""看來你積累了挺多經驗，<br>也已經扎扎實實地提升好了戰鬥力呢。"""
ssq_013020_0213#0,"""啊，對了。<br>說到這戰鬥力啊……"""
ssq_013020_0204#0,"""要是戰鬥力不夠，<br>有一些緊急作戰，你也是參加不了的哦。"""
ssq_013020_0205#0,"""為了以防萬一，我覺得你還是提升一下戰鬥力比較好。<br>那今後也要加油哦。"""
