name01#0,"""Cofy"""
11_voice_NPC_5050_104#0,"""สวัสดี<%me><br>ข้าเป็นเจ้าหน้าที่ชื่อ Cofy"""
text02#0,"""จากผลงานของเหล่า ARKS<br>ทำให้ขณะนี้เราค้นพบดาว Wopal<br>ซึ่งเป็นดาวดวงใหม่แล้ว"""
text03#0,"""เมื่อดูจากประสบการณ์ของท่านแล้ว<br>เราลงความเห็นว่าไม่จำเป็นต้องเข้ารับ <br>Exploration Permit Test"""
text04#0,"""ทำให้ท่านสามารถเข้าไปสำรวจหรือรับภารกิจ<br>เกี่ยวกับ Area นี้ ได้อย่างอิสระ"""
text05#0,"""เท่านี้ล่ะ หากมีอะไรเพิ่มเติมจะติดต่อมาใหม่<br>สวัสดี"""
name01#1,"""コフィー"""
11_voice_NPC_5050_104#1,"""<%me>さん。<br>お疲れ様です。<br>管理官のコフィーです。"""
text02#1,"""アークスの活躍により<br>新たな惑星、ウォパルが<br>発見されました。"""
text03#1,"""貴方の実力ならば<br>探索許可申請試練の必要はないと<br>判断します。"""
text04#1,"""貴方の随意のタイミングで<br>調査や任務へと赴いてください。"""
text05#1,"""では、今後とも<br>よろしくお願いします。"""
