msc_020270_0010#0,"""This place..."""
msc_020270_0020#0,"""It has an entirely different atmosphere to the others."""
msc_020270_0030#0,"""What are these things?"""
msc_020270_0040#0,"""You probably shouldn't touch."""
msc_020270_0050#0,"""An ARKS laboratory?"""
msc_020270_0060#0,"""O-Oh... Right."""
msc_020270_0070#0,"""Huh?"""
msc_020270_0080#0,"""What do you think they did here?"""
msc_020270_0090#0,"""No idea..."""
msc_020270_0100#0,"""We have other things to worry about."""
msc_020270_0110#0,"""...Me either."""
msc_020270_0120#0,"""You're right. Let's hurry and find Manon."""
msc_020270_0130#0,"""Oh. It looks like there's a room over there."""
msc_020270_0140#0,"""Let's go check it out."""
