un_012610_0005#0,"""[Why Hesitate?]<br>ข้อความชั่วคราว"""
un_012610_0010#0,"""ว่าไง เจ้าเองรึ<br>การปฏิบัติภารกิจอย่างแน่วแน่ได้ในช่วง<br>เช่นนี้ข้าคิดว่ามันเป็นเรื่องที่วิเศษมากเลยล่ะ"""
un_012610_0020#0,"""นั่นก็เพราะว่าเจ้า Dark Falz มันดันฟื้นคืน<br>ชีพขึ้นมาแล้ว ดังนั้นการรุกรานของเจ้าพวก <br>D-arkers มันก็ต้องรุนแรงขึ้นด้วย"""
un_012610_0030#0,"""และการการปฏิบัติภารกิจอย่างแน่วแน่<br>ให้ยิ่งกว่าช่วงที่ผ่านๆ มาก็เป็นสิ่งจำเป็น<br>อย่าได้ลืมเรื่องนั้นซะล่ะ"""
un_012610_0040#0,"""......การที่มี ARKS ที่รู้สึกไม่พอใจ<br>เกี่ยวกับเรื่องที่พวกเบื้องบนซ่อนความ<br>จริงไว้ มันก็เป็นเรื่องที่ช่วยไม่ได้"""
un_012610_0050#0,"""ทว่า ขอข้าพูดซักหน่อยเถอะ"""
un_012610_0060#0,"""แล้วจะยังไงล่ะ สิ่งที่พวกเราต้องทำ<br>ก็ไม่เปลี่ยนแปลงอยู่ดีนั่นก็คือจัดการ<br>พวก D-arkers และปกป้องโลก"""
un_012610_0070#0,"""ตอนที่รู้สึกไม่มั่นใจก็จงหวนกลับสู่จุดเริ่มต้น<br>จงหันกลับไปดูว่าสิ่งที่ตัวเองควรทำคืออะไร<br>และเรื่องเกือบทั้งหมดก็จะคลี่คลายเอง"""
un_012610_0080#0,"""นึกไปแล้วสมัยก่อนข้าเองก็เคยถูกใจที่<br>นึกสงสัยทำให้วิ่งไล่ตามหาความจริงที่<br>ถูกเก็บซ่อนไม่เว้นแต่ละวันเช่นกัน......"""
un_012610_0090#0,"""......"""
un_012610_0005#1,"""【戸惑う理由がどこにある？】<br>仮テキスト"""
un_012610_0010#1,"""やあ、君か。<br>この時勢での地道な活動は<br>素晴らしいことだと思うぞ。"""
un_012610_0020#1,"""なにせ、ダークファルスが<br>復活してしまったからな。<br>ダーカーの活動も活発になる。"""
un_012610_0030#1,"""今まで以上に、地道な活動が<br>必要になるのだ。<br>忘れてはいけないぞ。"""
un_012610_0040#1,"""……上層部の隠し事について<br>気に入らないというアークスが<br>いるのは仕方のない事だ。"""
un_012610_0050#1,"""だが、私は敢えて言おう。"""
un_012610_0060#1,"""だからどうした、我々のやることは<br>変わらず、ダーカーを倒し<br>世界を守ることだぞ、と。"""
un_012610_0070#1,"""不安になった時は原点に戻る。<br>自身が何をするべきかを振り返る。<br>それで大概の事は解決するのだ。"""
un_012610_0080#1,"""思えば私も、昔は疑心にかられ<br>ありもしない隠された真実を探ろうと<br>日々奔走していたが……"""
un_012610_0090#1,"""…………"""
