name01#0,"""Pati"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
11_voice_NPC_5014_104#0,"""...แหม่ Patiจัง<br>เมื่อไหร่จะเลิกส่งคำจ้างวานแบบนี้ซะทีนะ?<br>ของแค่นี้ชั้นคนเดียวก็ทำได้นะ"""
11_voice_NPC_5013_100#0,"""เอาน่าเอาน่า ไม่ต้องเกรงใจหรอก !<br>ก็เค้าอุตส่าห์บอกว่าจะไปด้วยแล้วนี่นา !"""
text03#0,"""พอดีชั้นเองก็มีงานอย่างอื่นต้องไปทำ...<br>เลยห่วงว่า Tia จะไหวรึเปล่านี่สิ...เลยเอาเป็นว่า !<br>คราวนี้ ชั้นโอนให้เธอไปกะ Tia ละกันนะ !"""
text04#0,"""โอนให้เค้าตลอดไปเลยก็ได้นะ..."""
text05#0,"""ขอเตือนว่าห้ามให้คนอื่นไปแทนด้วยนะ<br>แล้วต้องห้ามปล่อย Tia ไปคนเดียวด้วยรู้มั้ย !<br>แค่นี้ล่ะ ฝากด้วยละกัน !"""
text06#0,"""...ถ้ามึนๆมาเจอ Patiจังก็เป็นแบบนี้ทุกคนล่ะนะ<br>แต่ไหนๆก็ไหนๆแล้ว ขอฝากตัวด้วยละกันค่ะ"""
11_voice_NPC_5014_104#1,"""……いや、パティちゃん。<br>何勝手にこんな依頼出してるの？<br>別に私、一人で大丈夫なんだけど。"""
11_voice_NPC_5013_100#1,"""まーまーそう遠慮しなさんなって！<br>この人もほら、付いてきてくれると<br>言ってくれてるわけだし！"""
text03#1,"""あたしはあたしで別の用事があって……<br>でもティアは心配なわけで……だから！<br>今回は、ティアの隣をアナタに譲る！"""
text04#1,"""譲りっぱなしにしてくれないかな……"""
text05#1,"""他の誰とも一緒に行っちゃダメだよ。<br>ティアと二人きりじゃないとダメだよ！<br>それじゃ、よろしくー！"""
text06#1,"""……パティちゃんの勢いに流されるのは<br>なんだかしゃくだけど<br>せっかくだし、よろしくお願いします。"""
