st_057080_0010#0,"""この子が、異常体質の……"""
st_057080_0020#0,"""ん？<br>あなたは、だれ？"""
st_057080_0030#0,"""私は……クラリッサ。<br>フロー、貴方専属の研究者よ。"""
st_057080_0040#0,"""研究？\u3000また何か無駄なことするの？<br>どうせなにもわからないのに？"""
st_057080_0050#0,"""……そうね。<br>貴方にとっては、そうかもしれない。<br>私たちは、未だに何もわかっていない。"""
st_057080_0060#0,"""だったら遊ぼうよ。<br>そんな無駄なことより、遊ぼう。"""
st_057080_0070#0,"""ぼくはもっと遊びたいよ。<br>いろんな所に行って、いろんな話をして<br>もっともーっと、遊び回りたい。"""
st_057080_0080#0,"""そう……でしょうね。<br>だけど、それは出来ないの。<br>フロー、貴方は特別だから。"""
st_057080_0090#0,"""……ああ、楽しかった。<br>さあ、次の所に行こう？<br>次のことをしよう？"""
st_057080_0100#0,"""もっともーっと、遊びたいんだ。<br>相手はそこら中にいっぱいいる。<br>そこら中にいっぱい作れる。"""
st_057080_0110#0,"""ああ、ああ、楽しいなあ。<br>遊び相手がいっぱいだ、いっぱいだ。<br>みんな、もっと楽しもうよ。あははははっ！"""
st_057080_0120#0,"""【双子】の反応、消失しました……<br>周囲から魔物種の反応も消えましたが<br>……倒したとは、違います。"""
st_057080_0130#0,"""今のは、何だったんだ？"""
st_057080_0140#0,"""フローの偽物……？"""
st_057080_0150#0,"""……フローの、心。<br>その根底にある寂しさが生み出した<br>もう一人のフロー。"""
st_057080_0160#0,"""もう一人の、フロー君？"""
st_057080_0170#0,"""クエントは召喚、ヴェルンは強化<br>エピックは心操、そして<br>イス＝アルスは増殖に長ける。"""
st_057080_0180#0,"""ひとつをふたつに、ふたつをよっつに。<br>それを繰り返し、出来上がった<br>通商連合国、イス＝アルス。"""
st_057080_0190#0,"""欲しい物を増やす。<br>求める物を増やす。<br>それがこの国の根底にある原理。"""
st_057080_0200#0,"""しかし、フローは筆頭象徴となる身。<br>その知識の中に、友はいません。"""
st_057080_0210#0,"""ゆえに、自分自身を友として生み出した。<br>自身の寂しさを、埋めるために。<br>……遊び相手とするために。"""
st_057080_0220#0,"""この国も、フロー君も<br>どうして、そんなことに……"""
st_057080_0230#0,"""……私にも、わかりません。<br>成り立ちまで立ち戻らねば<br>原初の孤独の理由はわからない。"""
st_057080_0240#0,"""私は国の中にいて、国とともにあった。<br>だから、このおかしさがわからない。<br>……今としては、そう、思います。"""
st_057080_0250#0,"""原初の孤独……"""
st_057080_0260#0,"""さっきのビジョンは……"""
name01#0,"""？？？"""
name02#0,"""？？？"""
