msc_023030_0010#0,"""<%me>か。"""
msc_023030_0020#0,"""ちょうどいいところに来てくれた。"""
msc_023030_0030#0,"""最近のアイナについて、<br>なにか気になることはないだろうか？"""
msc_023030_0040#0,"""いつもどおり。"""
msc_023030_0050#0,"""少し元気がなさそう。"""
msc_023030_0060#0,"""……そうか。<br>それならいい。"""
msc_023030_0070#0,"""やはり、まだ躊躇いがあるのだろうか……。"""
msc_023030_0080#0,"""聞いているかもしれないが、<br>アイナには新設された訓練隊の教官役をお願いしている。"""
msc_023030_0090#0,"""教える側に立つのは、彼女にとって初めてのことだ。"""
msc_023030_0100#0,"""少なからず、不安や迷いがあるだろう。"""
msc_023030_0110#0,"""当面は、私も訓練には立ち会うつもりだが……。"""
msc_023030_0120#0,"""ブルーダーが一緒なら、心強いと思う。"""
msc_023030_0130#0,"""アイナのことを頼む。"""
msc_023030_0140#0,"""うむ。できる限りサポートするつもりだ。"""
msc_023030_0150#0,"""ああ。<br>任された。"""
msc_023030_0160#0,"""スターレスへの脅威から、<br>このところ、戦闘団への志願者が増えていてな。"""
msc_023030_0170#0,"""相対的に、教官役が不足している。"""
msc_023030_0180#0,"""そこで、アイナが加わってくれるのは、<br>とてもありがたい。"""
msc_023030_0190#0,"""彼女にはヒトを惹きつける力がある。"""
msc_023030_0200#0,"""多くの戦いを経て、経験も積んだ。"""
msc_023030_0210#0,"""今のアイナは、リーダーとしても適任だろう。"""
msc_023030_0220#0,"""最初は、武器の扱いもおぼつかなかった彼女が、<br>これだけの成長を遂げたのは正直驚きだ。"""
msc_023030_0230#0,"""その体験を、<br>後進にも伝えてもらいたいと思っている。"""
msc_023030_0240#0,"""いずれにせよ、まずは実践してみての話だな。"""
msc_023030_0250#0,"""キミのほうでも、<br>なにか気づいたことがあったら教えてくれ。"""
