Title#0,"""Investigate Automata: Lost Sea"""
Explanation#0,"""ท่านมีหน้าที่ต้องไปสำรวจความสามารถของเครื่องจักรกล<br>Lost Sea บนดาว Lilipa<br>เราสามารถเก็บข้อมูลได้ในระหว่างต่อสู้<br>ดังนั้นภารกิจก็ตรงไปตรงมา<br>เผชิญหน้าและกำจัด Lost Sea automata<br>แล้วนำข้อมูลเกี่ยวกับความสามารถของพวกมันกลับมา<br><br>----------------------------------------<br>ผ่านโดยการเก็บ 120 Quest Point<br>โดยคะแนนจะได้เมื่อกำจัดเครื่องจักรกล"""
Title#1,"""機甲種性能調査：砂漠"""
Explanation#1,"""惑星リリーパの砂漠にて稼働している<br>機甲種の性能調査を依頼したい。<br>データの収集自体は戦闘と並行で行うため<br>余計な手間はかからない。<br>砂漠の機甲種と交戦、撃退し<br>その性能データを収集してきて欲しい。<br><br>――――――――――――――――――――<br>クエストポイント【120】達成でクリア<br>主に機甲種の撃破でポイント獲得"""
SimpleExplanation#0,"""กำจัด Automata เพื่อรับคะแนน Quest points!"""
SimpleExplanation#1,"""機甲種を撃退し<br>クエストポイントをためろ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
