name_7022#0,"""カヌイ"""
name_7001#0,"""マノン"""
name_7026#0,"""ファリア"""
ssn_017050_0010#0,"""その様子ですと、何か進展があったようですね。"""
ssn_017050_0020#0,"""はい。<br>ルシエルの内部で取得した観測者データ解析が完了いたしました。"""
ssn_017050_0030#0,"""その結果……。<br>ヒバナは間違いなく、旧リサージェントアークスの“観測者”だったわ。"""
ssn_017050_0040#0,"""……やはり、そうでしたか。<br>覚悟はしていたのですが、やはり胸が締め付けられますね。"""
ssn_017050_0050#0,"""このことについて、隊長にどう報告するべきか悩みます。"""
ssn_017050_0060#0,"""……“もう一人の戦友”に先に報告するのはどうかしら。<br>彼なら、きっと良い解決策も提案してくれるかもしれないわ。"""
ssn_017050_0070#0,"""クロフォード君ですね。<br>たしかに、彼なら冷静に受け止めてくれるでしょう。"""
ssn_017050_0080#0,"""彼への報告は、おまかせしてもよろしいでしょうか。<br>私は少しこの地で手の離せない仕事がございまして……。"""
ssn_017050_0090#0,"""わかりました。<br>私たちで報告しましょう。"""
ssn_017050_0100#0,"""ありがとうございます。<br>お願いします。"""
ssn_017050_0110#0,"""よろしくお願いします。"""
