a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Area0S#0,"""防衛ライン周辺宙域"""
Area0L#0,"""防衛ライン周辺宙域"""
QuestInfoAreaName#0,"""防衛ライン周辺宙域"""
Title#0,"""T:宇宙を斬り裂く紅き閃機"""
Explanation#0,"""大型閃機種が我々の防衛ラインに<br>急接近していると報告があった。<br>単機ながら超高速の機動をもって<br>全方位への攻撃を仕掛けてきている。<br>足を止めることすらままならない状況だ。<br>整備が完了している「A.I.Sヴェガ」の数が<br>限られているため、少数での出撃となる。<br>これ以上の侵攻を防ぎ、目標を撃破せよ。<br>――――――――――――――――――――<br>失敗条件/任務の失敗、制限時間の経過"""
NpcComMsg1#0,"""まもなく、転送を開始します。<br>今回の目的は、防衛ライン付近まで<br>侵攻した大型閃機種の迎撃です。"""
NpcComMsg2#0,"""非常事態のため<br>整備が済んだA.I.Sから出撃する形の<br>少人数での作戦となります。"""
NpcComMsg3#0,"""かなりの危険が予想されますが<br>防衛ラインは死守する必要があります！<br>かならず、敵機を撃破してください！"""
SimpleExplanation#0,"""アヴァールネメシスを撃破せよ！"""
