msc_021030_0010#0,"""……というわけで、<br>スターレスの出現は警戒を厳に。"""
msc_021030_0020#0,"""ハルファ全域の再調査を進めつつ、<br>各リージョン間の連携を強化する。"""
msc_021030_0030#0,"""みんな、よろしく頼むよ。"""
msc_021030_0040#0,"""ふぅ……長い話し合いだったね。<br>つきあわせてしまってすまない。"""
msc_021030_0050#0,"""えっと……。<br>ちょっといいかな？"""
msc_021030_0060#0,"""ん？\u3000なんだい？"""
msc_021030_0070#0,"""この話し合いって、<br>マノンはいなくてもよかったの？"""
msc_021030_0080#0,"""マノン君は、その……。"""
msc_021030_0090#0,"""……？"""
msc_021030_0100#0,"""保護されたリサージェントアークスたちと一緒に……。"""
msc_021030_0110#0,"""……ある場所に、<br>軟禁させてもらっている。"""
msc_021030_0120#0,"""マノンがなにを？"""
msc_021030_0130#0,"""なにか罪を問うつもり？"""
msc_021030_0140#0,"""彼女はなにも悪くない。<br>ただ、今は人前に出るべきではない。"""
msc_021030_0150#0,"""どういうこと？"""
msc_021030_0160#0,"""リサージェントアークスの境遇には、<br>みんな同情的だ。"""
msc_021030_0170#0,"""事情を知る僕たちは特にね。"""
msc_021030_0180#0,"""生まれたときから、機械の一部のように、<br>ハルファの管理をさせられていた。"""
msc_021030_0190#0,"""なにが正しくて、<br>なにが間違っているのかも教えられずに……。"""
msc_021030_0200#0,"""……でも、人々のなかには、<br>リサージェントアークスに、敵意を向ける者もいる。"""
msc_021030_0210#0,"""彼らを赦せないという気持ちも……わかる。"""
msc_021030_0220#0,"""………。"""
msc_021030_0230#0,"""今は、マノンやファリアたちに、<br>事情を聴いている。"""
msc_021030_0240#0,"""なにがあったのか、なにをしてきたのか……。"""
msc_021030_0250#0,"""それを、人々に伝え、理解を求める。"""
msc_021030_0260#0,"""みんなが納得して、落ち着くまでには、<br>時間が必要なのだ。"""
msc_021030_0270#0,"""どれくらいかかるの？"""
msc_021030_0280#0,"""長くはかからないはずだ。<br>時が来たら、最初にキミたちに伝える。"""
msc_021030_0290#0,"""……わ、わかった。<br>じゃあ……、信じて待つよ。"""
msc_021030_0300#0,"""ありがとう。<br>キミも、それでいいかな？"""
msc_021030_0310#0,"""マノンの心のケアを。"""
msc_021030_0320#0,"""ひどいことはしない？"""
msc_021030_0330#0,"""もちろんだとも。"""
msc_021030_0340#0,"""……その。"""
msc_021030_0350#0,"""なんだい？"""
msc_021030_0360#0,"""マノンは、放っておくと、<br>同じものばかり食べちゃうから……。"""
msc_021030_0370#0,"""ちゃんと、おいしいものを、作ってあげて。"""
msc_021030_0380#0,"""ああ、わかった。担当官に伝えるよ。<br>……他には？"""
msc_021030_0390#0,"""ううん。大丈夫。"""
msc_021030_0400#0,"""……よし。<br>じゃあ、キミたちのこれからについて、話をしよう。"""
msc_021030_0410#0,"""あたしたちにできることなら、なんでも言って！<br>ねっ？"""
msc_021030_0420#0,"""ありがとう。"""
msc_021030_0430#0,"""……ふう。<br>でも、長い会議だったから、少し休憩しようか。"""
msc_021030_0440#0,"""これからするのは、<br>ふたりにとって大事な話だ。"""
msc_021030_0450#0,"""その前に、現状を整理しておくといいかもしれない。"""
