name01#0,"""Cabracan"""
name02#0,"""Echo"""
name01#1,"""カブラカン"""
name02#1,"""エコー"""
skit01#0,"""/ci2 1 ย..อย่างน้อยก็ได้ข้อมูลมาบ้าง ใช่มะ ?<br>เฮ้อ...เล่นเอาหัวใจเกือบวาย"""
skit02#0,"""ชั้นว่าพี่สาวตกใจให้มันน้อยๆกว่านี้หน่อยก็คงดีนะ"""
skit01#1,"""/ci2 1 と、とりあえずデータは<br>取りきった、かな？<br>……はぁ、びっくりした。"""
skit02#1,"""ねーちゃんはもうちょっと<br>落ち着いて行動しような。"""
skit01#2,"""ย..อย่างน้อยก็ได้ข้อมูลมาบ้าง ใช่มะ ?<br>เฮ้อ...เล่นเอาหัวใจเกือบวาย"""
skit02#2,"""ชั้นว่าพี่สาวตกใจให้มันน้อยๆกว่านี้หน่อยก็คงดีนะ"""
skit01#3,"""と、とりあえずデータは<br>取りきった、かな？<br>……はぁ、びっくりした。"""
skit02#3,"""ねーちゃんはもうちょっと<br>落ち着いて行動しような。"""
