text01001#0,"""text01001"""
text01002#0,"""text01002"""
text01003#0,"""text01003"""
text01004#0,"""text01004"""
text02001#0,"""text02001"""
text03001#0,"""text03001"""
text03002#0,"""text03002"""
text01001#1,"""こんにちはっ！<br>貴方、アークスよね？"""
text01002#1,"""うん、うんうん、合格っ！"""
text01003#1,"""あ、ごめんごめん。<br>わたしの名前はシー。"""
text01004#1,"""協力して欲しいことがあるんだけど<br>話を聞いてくれないかな？"""
text02001#1,"""進捗はどんな感じかなっ？<br>いつまででも待つからねっ！"""
text03001#1,"""ほんと、いろいろとありがとう！<br>おかげで今年のソンクラーンも<br>大成功だよっ！"""
text03002#1,"""貴方のおかげで軌道に乗ったし<br>もうこっちは大丈夫っ！<br>貴方もお祭りを楽しんでね！"""
