ErrorTitle#0,"""大家的穿搭錯誤"""
ErrorDBAccess#0,"""連接數據庫失敗。<br><br>請稍候再試。"""
ErrorUnknown#0,"""發生未知錯誤。<br><br>請稍候再試。"""
ErrorInfoNotFound#0,"""沒有登錄穿搭。"""
ErrorEtc#0,"""發生未知錯誤。<br><br>錯誤（$(0)）"""
Error_DataNone#0,"""沒有數據"""
FashioncatSearchTitle#0,"""搜尋大家的穿搭"""
FashioncatListTitle#0,"""查看大家的穿搭"""
CharacterListTitle#0,"""角色列表"""
TitleProfile#0,"""穿搭情報"""
TitleRegist#0,"""登錄自己的穿搭"""
TitleSearchWord#0,"""搜索用標籤"""
TitleComment#0,"""描述"""
TitleLike#0,"""贊！"""
TitleLikeClose#0,"""贊！"""
TitlePose#0,"""要播放的大廳動作"""
TitleExpression#0,"""表情"""
LabelViewNum#0,"""瀏覽數"""
LabelLike#0,"""贊！"""
Message#0,"""<pict like_icon>贊！<br><pict cute_icon>好可愛！<br><pict cool_icon>帥呆了！<br><pict funny_icon>好有趣！<br><br>可以從中選擇一個，<br>作為「附有註釋的鼓勵」<br>發送給對方。<br><br>※每天可通過鼓勵獲得10次FUN點數<br>（同一個對象每天只能獲得1次）<br>※以GJ為目標的委託人和冰菓無法完成。"""
Message_rb#0,"""可以向其他玩家的穿搭送上<yellow>“贊！”<c>。<br><br>“贊！”可以作為“附帶描述的鼓勵”，<br>發送給對方。<br><br>同時，發送“贊！”後可以獲得SG。<br><br><yellow>※包含“贊！”的鼓勵<br>　每日最多可獲得5次SG<br>　對相同玩家每日最多可獲得1次SG。<c>"""
ReceiveMessage#0,"""臨時文本 （贊！發生完畢）"""
Point#0,"""基本點數"""
FrendPoint#0,"""好友點數"""
PremiumPoint#0,"""VIP點數"""
Sum#0,"""合計"""
Plus#0,"""＋"""
LabelColon#0,"""："""
LabelName#0,"""角色名稱"""
LabelCategory#0,"""風格"""
LabelTribal#0,"""種族"""
LabelGender#0,"""類型"""
LabelTribalGender#0,"""種族(類型)"""
LabelSort#0,"""類別"""
LabelMonthly#0,"""每月"""
LabelTotal#0,"""累計"""
SearchButton#0,"""開始瀏覽"""
LikeButton#0,"""贊！"""
SendButton#0,"""發送"""
CloseButton#0,"""關閉"""
CancelButton#0,"""取消"""
BackButton#0,"""返回"""
DecideButton#0,"""確定"""
RegistButton#0,"""添加到書籤"""
ButtonPose#0,"""選擇大廳動作"""
ButtonExpression#0,"""選擇表情"""
SearchInfo#0,"""<c 808080>輸入標籤<c>"""
Item_View#0,"""瀏覽數降序"""
Item_Nice#0,"""贊！降序"""
Item_New#0,"""最近更新"""
Item_Back#0,"""返回"""
Item_Default#0,"""所有風格"""
Item_Cute#0,"""好可愛"""
Item_Cool#0,"""帥呆了"""
Item_Beauty#0,"""美麗"""
Item_Elegant#0,"""優雅"""
Item_Wild#0,"""狂野"""
Item_Intellectual#0,"""文雅"""
Item_Dark#0,"""黑化"""
Item_Sexy#0,"""性感"""
Item_Indoor#0,"""室內"""
Item_Interesting#0,"""好有趣"""
Item_Default#1,"""全種族"""
Item_Human#0,"""人類"""
Item_Newman#0,"""新人類"""
Item_Cast#0,"""機器人"""
Item_Dewman#0,"""魔人"""
ItemBase_Men#0,"""$(0) （類型1）"""
ItemBase_Female#0,"""$(0) （類型2）"""
Item_Default#2,"""全類型"""
Item_Male#0,"""類型1"""
Item_Female#0,"""類型2"""
Item_Default#3,"""隨機"""
Item_View#1,"""瀏覽數的順序"""
Item_Nice#1,"""贊！的順序"""
Item_New#1,"""登錄日期的順序"""
CatReleaseConfirm_Title#0,"""撤銷登錄"""
CatReleaseConfirm_Message#0,"""撤銷當前登錄了的穿搭。<br><br><c c0c0c0>※如果是想要更新登錄中的穿搭的話<br>　可以不用取消，使用「登錄自己的穿搭」<br>　就可以重新登錄。<c><br><br>確定麼？"""
CatReleaseResult_Success#0,"""撤銷了。"""
CatReleaseResult_NotRegister#0,"""沒有登錄穿搭。"""
CatReleaseResult_Error#0,"""撤銷失敗。"""
Item_Default#4,"""選擇想登錄的風格 （必須）"""
TitleSearchWord1#0,"""標籤1"""
TitleSearchWord2#0,"""標籤2"""
TitleSearchWord3#0,"""標籤3"""
EditDefaultSearchWord1#0,"""<c 808080>可以寫c>"""
EditDefaultSearchWord2#0,"""<c 808080>可以寫c>"""
EditDefaultSearchWord3#0,"""<c 808080>可以寫c>"""
TitleComment#1,"""描述"""
EditDefaultComment#0,"""<c 808080>可以寫說明<c>"""
ReceiveMessage#1,"""穿搭登錄成功。"""
WarningClosableCategoryDefault#0,"""種類欄必須選擇的一項。"""
WarningClosableSmutFilter#0,"""在「$(0)」有無法使用的文字或者記號。"""
WarningYesNoResist#0,"""如果重新登錄裝扮的話，當前已有的贊！等每月合計將會重置。<br><br>要重新登錄麼？"""
WarningClosableDupeTag#0,"""在「搜索用標籤」有相同的詞語。<br>請使用其他詞語或者留空。"""
ErrorClosableErrorDB#0,"""連接數據庫失敗。<br><br>請稍候再試。"""
ErrorClosableErrorBAN#0,"""穿搭登錄失敗。"""
ErrorClosableErrorUnknown#0,"""發生未知錯誤。<br><br>請稍候再試。"""
ErrorClosableImproperData#0,"""現在の外見データは問題があるため<br>コーデカタログへの登録が出来ません。<br><br>マイファッションから他のデータを適用し登録するか、<br>エステで修正してください。"""
