name01#0,"""Lottie"""
name01#1,"""ロッティ"""
text00#0,"""ขะ ขอบคุณมากค่ะ<br>โชคดีจังเลยที่มาขอร้องรุ่นพี่"""
text01#0,"""ว้าว ยอดไปเลย<br>ขอบคุณมากๆนะคะ<br>รุ่นพี่"""
text02#0,"""กะ เกรงใจจังเลยค่ะ รุ่นพี่<br>ขอบคุณมากจริงๆนะคะ<br>ช่วยได้มากเลย..."""
text03#0,"""ขอบคุณ 03"""
text00#1,"""あ、ありがとうございました。<br>先輩に頼んで、良かったです。"""
text01#1,"""わ、素敵。<br>先輩、お疲れ様でした。<br>ありがとうございます。"""
text02#1,"""お、お疲れ様です、先輩。<br>助かりました……。<br>今回はありがとうございます。"""
text03#1,"""ありがとう03"""
text00#2,"""ว้าว...! สุ สุดยอด !<br>ทำยังไงถึงออกมาดีขนาดนี้คะเนี่ย<br>รุ่นพี่ ขอบคุณมากจริงๆนะคะ"""
text01#2,"""รุ่นพี่ ขอบคุณมากเลยค่ะ<br>มันยอดมากจริงๆ<br>คะ คราวหน้าขอรบกวนอีกนะคะ"""
text02#2,"""อะ ออกมาเหนือความคาดหมายเลยนะคะเนี่ย<br>ขอบคุณมากจริงๆค่ะ<br>หนูดีใจจัง"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""わぁ……！\u3000す、すごい！<br>こんなに綺麗にできてるなんて。<br>先輩、ありがとうございます。"""
text01#3,"""先輩、ありがとうございます。<br>すっごく素敵です……<br>ま、またお願いします。"""
text02#3,"""だ、大成功の品ですね。<br>今回はありがとうございます。<br>嬉しいです。"""
text03#3,"""本当にありがとう03"""
