text01#0,"""<%me>さん<br>お帰りなさい！"""
11_voice_NPC_5314_106#0,"""あ！\u3000その手に持ってるのって！<br>そうそう、それです！"""
text03#0,"""やっぱり<br>ドラゴ・デッドリオンがいた辺りで<br>見つけたんですね。"""
text04#0,"""……え？\u3000私にくれる？<br>いや、でもレアアイテムかも<br>しれないし……"""
11_voice_NPC_5314_105#0,"""……うーん、わかりました。<br>じゃあ、この一握りだけ<br>いただきます。"""
11_voice_NPC_5314_100#0,"""ありがとうございます！<br>これで、仲間達のプレゼントが<br>作れそう！"""
11_voice_NPC_5319_102#0,"""そんなのモノメイト1個で<br>じゅうぶんですよ！"""
11_voice_NPC_5347_105#0,"""でも、女の子にとっては<br>大切な日だから……"""
11_voice_NPC_5314_103#0,"""だから、そんなんじゃないってば<br>日頃のお礼の気持ち！<br>純粋なお礼の気持ちだからね！"""
text10#0,"""え、えっと<br>今回は何から何まで<br>本当にありがとうございました！"""
text11#0,"""貴重なものをもらったお礼に<br>お返しの品、渡しますね。<br>つり合うものか、わからないですが。"""
text12#0,"""それから、呼び出してもらえれば<br>いつでも行きますので<br>クエストにも誘ってくださいね！"""
11_voice_NPC_5314_101#0,"""一緒に冒険できるの<br>楽しみにしてます！"""
11_voice_NPC_5319_100#0,"""私も、呼び出してくれたら<br>行くわよ。<br>……気が向いたらね！"""
11_voice_NPC_5347_101#0,"""誘ってくれるの待ってる。"""
linewindow001#0,"""イベントアイテム『赤褐色の石』を入手しました。"""
