LogoutURL#0,"""http://games.playpark.com/"""
HideRace#0,"""????"""
HideMaleRaceExplanation#0,"""[???? ชาย]"""
HideFamaleRaceExplanation#0,"""[???? หญิง]"""
HideClass#0,"""????"""
HideClassExplanation#0,"""????"""
HideRace#1,"""？？？？"""
HideMaleRaceExplanation#1,"""【？？？？\u3000男性】"""
HideFamaleRaceExplanation#1,"""【？？？？\u3000女性】"""
HideClass#1,"""？？？？"""
HideClassExplanation#1,"""【？？？？】"""
AcDenomination#0,"""AC"""
AcDenomination#1,"""AC"""
ChargeTitle#0,"""เติม AC"""
ChargeCheck#0,"""ใช้ Rakumame P เพื่อเติม AC<br>โปรดเลือกมูลค่าของ AC ที่ต้องการเติม"""
HaveAC#0,"""AC ที่มีขณะนี้"""
HaveBF#0,"""Rakumame P ที่มีขณะนี้"""
BFDenomination#0,"""Rakumame P"""
ac_name#0,"""ARKS Cash (AC)"""
bf_name#0,"""Rakumame P"""
NoData#0,"""ไม่ได้เลือกจำนวน AC ที่ต้องการเติม (ชั่วคราว)"""
BuyButton#0,"""ยืนยันการเติม"""
ChargeButton#0,"""เติม Rakumame P"""
exitButton#0,"""Rakumame P"""
WebOpenTitle#0,"""ยืนยันการเปิดเบราเซอร์"""
WebOpenCheck#0,"""ยืนยันการเปิดเบราเซอร์<br>และเชื่อมต่อไปยังเพจ beanfun !<br>หรือไม่คะ?"""
BFChargeURL#0,"""http://www.beanfun.com/"""
UseAgreementTitle#0,"""ข้อตกลงในการเติม AC"""
UseAgreementText#0,"""เอกสารเกี่ยวกับข้อตกลงในการใช้งาน (ชั่วคราว)"""
BuyCheckTitle#0,"""ยืนยันการเติม AC"""
BuyCheck#0,"""ยืนยันที่จะจ่าย $(1) Rakumame P เพื่อทำการเติม AC เป็นจำนวน <br>$(2)$(0) หรือไม่คะ?<br><yellow>*หลังจากผ่านขั้นตอนการยืนยันนี้แล้วจะไม่สามารถขอเรียกคืนได้<br>โปรดตรวจสอบให้แน่ใจก่อนดำเนินการ<c>"""
PurchasedACTitle#0,"""เติม AC"""
