un_020530_0010#0,"""敵人！<br>......咦，啊！\u3000搞錯了！<br><%me>！"""
un_020530_0020#0,"""對、對不起！<br>我正在訓練當中，<br>所以有點緊張啦！"""
un_020530_0030#0,"""不要緊啦，芙莉葉。<br>三次以內不算誤射啦。"""
un_020530_0040#0,"""就算如此，錯就是錯。<br>誤炸可是一次就被罵了......"""
un_020530_0050#0,"""大砲是那樣的喔？<br>看來不同的武器標準也不一樣呢。"""
un_020530_0060#0,"""你問我在做什麼嗎？<br>如你所見，正在和莉莎<br>一起進行合作訓練！"""
un_020530_0070#0,"""呵呵，只有遊俠的團隊<br>也很不錯啊？<br>怎麼射擊都不會礙到其它人。"""
un_020530_0080#0,"""是的，不管怎麼炸<br>都不會波及到別人呢！"""
un_020530_0090#0,"""更重要的是，和遊俠之間<br>氣場經常比較合呢。"""
un_020530_0100#0,"""我同意！<br>像是戰鬥方式、思考模式等等<br>我認為都很接近！"""
un_020530_0110#0,"""只可惜，<br>芙莉葉她以大砲當作<br>主要武器呢。"""
un_020530_0120#0,"""用突擊步槍凌虐敵人<br>非常爽快的喲。"""
un_020530_0130#0,"""我也推薦用大砲！<br>爆炸的那一剎那，有夠痛快的！"""
un_020530_0140#0,"""那麼，芙莉葉。<br>差不多該走人了。"""
un_020530_0150#0,"""要將更多更多的敵人<br>射殺射殺再射殺，<br>好好的享受享受哦。"""
un_020530_0160#0,"""給你！<br>要炸飛一切障礙物！"""
un_020530_0010#1,"""敵っ！<br>……って、あっ！\u3000違う！<br><%me>さん！"""
un_020530_0020#1,"""ご、ごめんなさい！<br>訓練中だったので、ちょっと<br>気が張っていて！"""
un_020530_0030#1,"""大丈夫ですよ、フーリエさん。<br>三回までは誤射とはいいません。"""
un_020530_0040#1,"""そうはいっても誤りは誤りですよ。<br>誤爆は一回で怒られますし……"""
un_020530_0050#1,"""ランチャーはそうなんですかあ？<br>武器によって基準が違うんですねえ。"""
un_020530_0060#1,"""何をしているのか？<br>お察しの通り、リサさんと<br>一緒に連携の訓練です！"""
un_020530_0070#1,"""ふふっ、レンジャーだけでの<br>パーティーはいいものですよお？<br>いくら撃っても、誰も困りません。"""
un_020530_0080#1,"""はい、いくら爆破しても<br>誰も巻き込まれませんしね！"""
un_020530_0090#1,"""それになにより、レンジャーの方とは<br>よくよく気が合うんですよ。"""
un_020530_0100#1,"""同感です！<br>戦い方とか、考え方とか<br>似てると思います！"""
un_020530_0110#1,"""惜しむらくは、フーリエさんは<br>ランチャー使用を主としていること<br>ですかねえ。"""
un_020530_0120#1,"""アサルトライフルでいたぶるの<br>とっても気持ちが良いんですよお？"""
un_020530_0130#1,"""ランチャーもおすすめですよ！<br>炸裂の瞬間とか、すかっとしますし！"""
un_020530_0140#1,"""それでは、フーリエさん。<br>そろそろ行きましょうか。"""
un_020530_0150#1,"""もっともおっと敵さんを<br>撃って撃って殺して殺して<br>楽しみましょうねえ。"""
un_020530_0160#1,"""はい！<br>障害物は吹き飛ばします！"""
