Title#0,"""沙漠遊擊戰"""
Explanation#0,"""接收到莉莉芭行星的沙漠中，出現大量達卡<br>的情報。<br>同時還出現了機甲種<br>損害且波及沙漠全域。<br>ARKS各成員請依序出擊，<br>對闊步的達卡，<br>和失控的機甲種作出對應。<br>請盡可能四處轉戰。以上。"""
Title#1,"""砂漠遊撃戦"""
Explanation#1,"""惑星リリーパの砂漠に多数のダーカーが<br>出現したと情報が入った。<br>それに伴い、機甲種の出現も確認され<br>砂漠全土に被害が拡大している。<br>アークス各員は順次出撃し<br>砂漠を闊歩するダーカーや<br>暴走する機甲種への対応を行え。<br>可能な限りの転戦を請う。以上だ。"""
SimpleExplanation#0,"""在時間結束前盡量擊退敵人！"""
SimpleExplanation#1,"""時間一杯エネミーを撃退せよ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
