ssc_502100_0010#0,"""……誰？"""
ssc_502100_0020#0,"""ああ、あなただったのね……。"""
ssc_502100_0030#0,"""元気がないみたいだけど……？"""
ssc_502100_0040#0,"""どこか調子が悪い？"""
ssc_502100_0050#0,"""あ、いえ……。"""
ssc_502100_0060#0,"""いえ、大丈夫よ……。"""
ssc_502100_0070#0,"""………。"""
ssc_502100_0080#0,"""ここに来ると、<br>どうしても思い出してしまうわね。"""
ssc_502100_0090#0,"""ニルス・スティアとの戦い……。"""
ssc_502100_0100#0,"""……そして、あのとき、<br>私をかばってくれたあの隊員のことを……。"""
ssc_502100_0110#0,"""……私なんかのために……。"""
ssc_502100_0120#0,"""どうして……。"""
ssc_502100_0130#0,"""自分を責めないで。"""
ssc_502100_0140#0,"""それが、彼の使命だった。"""
ssc_502100_0150#0,"""でも……！"""
ssc_502100_0160#0,"""使命？\u3000……私たちを守ることが？"""
ssc_502100_0170#0,"""彼にも、ふつうの暮らしがあった。"""
ssc_502100_0180#0,"""きっと、夢もあった。<br>やりたいことも……たくさんあった……はず。"""
ssc_502100_0190#0,"""それを、私が……、<br>永遠に奪ってしまった……。"""
ssc_502100_0200#0,"""その考えかたには、賛同できかねます。"""
ssc_502100_0210#0,"""カヌイ……!?"""
ssc_502100_0220#0,"""失礼しました。<br>声が聞こえましたので。"""
ssc_502100_0230#0,"""我々のことについて、<br>少しだけ話をしてもよいでしょうか？"""
ssc_502100_0240#0,"""我々には、<br>“絶対に仲間を見捨てない”というルールがあります。"""
ssc_502100_0250#0,"""戦いにおいて、<br>もっとも恐ろしいのは敵ではありません。"""
ssc_502100_0260#0,"""仲間を信用できなくなることです。"""
ssc_502100_0270#0,"""戦いのなかで、孤立したとき、負傷したとき、<br>自分だけが置いて行かれるのではないか。"""
ssc_502100_0280#0,"""そういう不安が、常につきまといます。"""
ssc_502100_0290#0,"""それを、払拭するために、<br>ルールがあるのです。"""
ssc_502100_0300#0,"""隊員同士が、安心して背中を預けられる。"""
ssc_502100_0310#0,"""信頼関係を築き、<br>任務を遂行していくのです。"""
ssc_502100_0320#0,"""あなたをかばった隊員も、<br>そのルールに従ったにすぎません。"""
ssc_502100_0330#0,"""危機に瀕したあなたを“見捨てない”。"""
ssc_502100_0340#0,"""その結果として、より多くの仲間が助かる。"""
ssc_502100_0350#0,"""彼は、そう考えたのでしょう。"""
ssc_502100_0360#0,"""そして、戦いはそのとおりに推移しました。"""
ssc_502100_0370#0,"""……あのときの私は、<br>ただ怒りに任せて……。"""
ssc_502100_0380#0,"""戦いは、結果がすべてです。"""
ssc_502100_0390#0,"""もちろん、過程も大切ですが、<br>どれだけ敵を倒し、どれだけ仲間が生き延びたか。"""
ssc_502100_0400#0,"""最後に問われるのは、その一点のみなのです。"""
ssc_502100_0410#0,"""多くの犠牲が出れば、<br>その責任は、グレン隊長が負います。"""
ssc_502100_0420#0,"""もちろん、副官である私も。"""
ssc_502100_0430#0,"""彼は、なすべきことをなしただけなのです。"""
ssc_502100_0440#0,"""だから、あなたはまっすぐ前を向いていてください。"""
ssc_502100_0450#0,"""カヌイ……。"""
ssc_502100_0460#0,"""私の話は、これで終わりです。"""
ssc_502100_0470#0,"""……ありがとう。"""
ssc_502100_0480#0,"""いえ、差し出がましいことをしました。"""
ssc_502100_0490#0,"""それでは、私は任務に戻ります。"""
ssc_502100_0500#0,"""……気持ちの整理をつけるのは、<br>簡単ではないけれど……。"""
ssc_502100_0510#0,"""カヌイの言うとおり、<br>前を向けるように、努力するわ。"""
ssc_502100_0520#0,"""私に、未来を託してくれた<br>……あのアークスのためにも。"""
