name01#0,"""オーザ"""
name02#0,"""マールー"""
name03#0,"""リサ"""
name04#0,"""アフィン"""
name05#0,"""パティ"""
name06#0,"""ティア"""
name07#0,"""サラ"""
skit01#0,"""む、あれは……エネミーが<br>集められているのか？<br>狙い所かもしれないな。"""
skit02#0,"""……あれ、エネミーが<br>集められているのかしら。<br>……狙い所、かも。"""
skit03#0,"""おやおやおやおやあ？<br>敵さんがひとところに集められて<br>いますよお？\u3000狙い放題ですねえ！"""
skit04#0,"""ん、なんだありゃ？<br>エネミーが集められてるのか？<br>稼ぎ所、ってことなのかな。"""
skit05#0,"""おー、すごいすごいよ！<br>エネミーが集められてる！"""
skit06#0,"""スコア獲得の目玉ってことかな？"""
skit07#0,"""エネミーが集められてるようね。<br>あれを倒せば、相当のスコアが<br>期待できそう……"""
skit01#1,"""/ci2 2 む、あれは……エネミーが<br>集められているのか？<br>狙い所かもしれないな。"""
skit02#1,"""/ci2 2 ……あれ、エネミーが<br>集められているのかしら。<br>……狙い所、かも。"""
skit03#1,"""/ci2 2 おやおやおやおやあ？<br>敵さんがひとところに集められて<br>いますよお？\u3000狙い放題ですねえ！"""
skit04#1,"""/ci2 2 ん、なんだありゃ？<br>エネミーが集められてるのか？<br>稼ぎ所、ってことなのかな。"""
skit05#1,"""/ci2 2 おー、すごいすごいよ！<br>エネミーが集められてる！"""
skit06#1,"""/ci2 2 スコア獲得の目玉ってことかな？"""
skit07#1,"""/ci2 2 エネミーが集められてるようね。<br>あれを倒せば、相当のスコアが<br>期待できそう……"""
