name010#0,"""ナズーン"""
text010#0,"""……な、なぜか出てきたエネミーを倒したところで、<br>“４択”クイズの時間です！"""
text011#0,"""４つのなかから、<br>正解だと思う足場に、向かってください。"""
text020#0,"""それでは、問題です。<br>……じゃん！"""
text030#0,"""正解だと思う足場に向かってください！<br>レッツ、シンキング！"""
text040#0,"""タイムアーップ！"""
text050#0,"""続いての問題です。<br>……じゃん！"""
text060#0,"""それでは、最後の問題です。<br>……じゃん！"""
text080#0,"""“４択”クイズは、これで終了です。<br>次のクイズ会場に移動しましょう！"""
quiz00_01#0,"""なし"""
quiz_correct#0,"""おめでとうございます！"""
quiz_incorrect#0,"""残念……。"""
quiz01#0,"""問題<br><yellow>装備の強化値が“＋61”のとき、<br>追加できる特殊能力の“スロット数”は？<c>"""
quiz01_01#0,"""装備の強化値が“＋61”のとき、"""
quiz01_02#0,"""追加できる特殊能力の“スロット数”は？"""
quize01_select1#0,"""６"""
quize01_select2#0,"""５"""
quize01_select3#0,"""７"""
quize01_select4#0,"""８"""
quize01_answer#0,"""正解は……、<br><red>６<c>でした！"""
quiz02#0,"""問題<br><yellow>クロフォードの祖父の“名前”は？<c>"""
quiz02_01#0,"""クロフォードの祖父の“名前”は？"""
quize02_select1#0,"""ヴァンフォード"""
quize02_select2#0,"""シロフォード"""
quize02_select3#0,"""バンフォード"""
quize02_select4#0,"""ジャン"""
quize02_answer#0,"""正解は……、<br><red>ヴァンフォード<c>でした！"""
quiz03#0,"""問題<br><yellow>アークス上級情報支援員“リーディア”の<br>アドバイスにないものは？<c>"""
quiz03_01#0,"""アークス上級情報支援員“リーディア”の"""
quiz03_02#0,"""アドバイスにないものは？"""
quize03_select1#0,"""“限界突破”について"""
quize03_select2#0,"""“アークスカード”について"""
quize03_select3#0,"""“コーデカタログ”について"""
quize03_select4#0,"""“ポータブルホログラム”について"""
quize03_answer#0,"""正解は……、<br><red>“限界突破”について<c>でした！"""
quiz04#0,"""問題<br><yellow>スティアキャンプのなかで、<br>“輸送トラック”はどこに置かれている？<c>"""
quiz04_01#0,"""スティアキャンプのなかで、"""
quiz04_02#0,"""“輸送トラック”はどこに置かれている？"""
quize04_select1#0,"""アイテムショップの隣"""
quize04_select2#0,"""アイテムラボの上"""
quize04_select3#0,"""アークス物資管理員ソウヤの後ろ"""
quize04_select4#0,"""トラスポが壊したのでどこにもない"""
quize04_answer#0,"""正解は……、<br><red>アイテムショップの隣<c>でした！"""
quiz5#0,"""問題<br><yellow>このクエストの“クエスト名”は？<c>"""
quiz05_01#0,"""このクエストの“クエスト名”は？"""
quize05_select1#0,"""クイズ★ナズーンの挑戦状！ Part.3"""
quize05_select2#0,"""クイズ●ナズーンの決闘状！ Part.3"""
quize05_select3#0,"""クイズ▲ナズーンの果し状！ Part.3"""
quize05_select4#0,"""クイズ■ナズーンの表彰状！ Part.3"""
quize05_answer#0,"""正解は……、<br><red>クイズ★ナズーンの挑戦状！ Part.3<c>でした！"""
quiz6#0,"""問題<br><yellow>セントラルタワーにいる<br>“フードスタンド店員”の名前は？<c>"""
quiz06_01#0,"""セントラルタワーにいる"""
quiz06_02#0,"""“フードスタンド店員”の名前は？"""
quize06_select1#0,"""フランメ"""
