name_7442#0,"""Chitose"""
ssn_015471_0010#0,"""Oh, so agreeable! I appreciate it."""
ssn_015471_0020#0,"""So, about my favor."""
ssn_015471_0030#0,"""Could you wipe out some of the enemies in uh, Mediola... Section 2 or whatever?"""
ssn_015471_0040#0,"""The enemies around there have been givin' me a real hard time, see. I haven't been able to get my investigation stuff done..."""
ssn_015471_0050#0,"""I mean, there's that, and I also wanna watch you fight again!"""
ssn_015471_0060#0,"""I wanna get stronger, ya know?"""
ssn_015471_0070#0,"""Sure, I might be doing recon or whatever right now, but I wanna become a member of the combat divison one day."""
ssn_015471_0080#0,"""That's why I wanna see how you fight, so I can take notes and stuff."""
ssn_015471_0090#0,"""You know Ms. Shirayuki, the 3rd Platoon Commander? She's sooo strong. I've got mad respect for her."""
ssn_015471_0100#0,"""But y'knooow... from what I saw, you might actually be stronger. Uh-huh."""
ssn_015471_0110#0,"""Anyways, yeah. I'm done rambling. Thanks for your help!"""
