name010#0,"""アイナ"""
name020#0,"""マノン"""
name030#0,"""ルーシア"""
text010#0,"""さっきの話だけど……<br>つまり、指令室に来たのは、あいつにとっては遊びだったっていうの？"""
text020#0,"""ええ。そしてその自信の源は、彼の持つ力よ。"""
text030#0,"""おそらく、オルタ・クロフォードは、<br>本物のクロフォードの能力や知性を、そのまま写し取っている。"""
text040#0,"""アイナ、覚えてる？<br>以前に、クロフォードと一緒に戦った時のことを。"""
text050#0,"""うん。別格の強さで、正直、びっくりしたよ。"""
text060#0,"""クロフォードって、そんなに強いの？<br>何ていうか……普段は、そんなふうに見えないけど。"""
text070#0,"""司令官になる前、彼はアークスの中でも、<br>五本の指に入る実力者と呼ばれていたそうよ。"""
text080#0,"""それに加えて、オルタ・クロフォードは、<br>私たちの知らない力を持つ可能性もある。細心の注意を払いましょう。"""
