ssc_506030_0010#0,"""お前か……。"""
ssc_506030_0020#0,"""………。"""
ssc_506030_0030#0,"""さしつかえなければ、<br>少し、そこで話を聞いてくれ。"""
ssc_506030_0040#0,"""……長い戦いだった。"""
ssc_506030_0050#0,"""まだ、すべてが終わったわけではないが、<br>ひとつの区切りをつけることができた。"""
ssc_506030_0060#0,"""際限のない<br>“レヌス・リテム”との戦い。"""
ssc_506030_0070#0,"""そのために、<br>これだけ多くの犠牲を強いられた。"""
ssc_506030_0080#0,"""もしも、お前たちの手を借りずに、<br>我々だけで戦い続けていたら……。"""
ssc_506030_0090#0,"""おそらく、最後には敗れていた。"""
ssc_506030_0100#0,"""……リテムの民は、<br>長いこと“自分たちの力”だけで物事を解決してきた。"""
ssc_506030_0110#0,"""よそ者の手を借りず、<br>完全に自立した組織を成す。"""
ssc_506030_0120#0,"""それが、最良とされていたのだ。"""
ssc_506030_0130#0,"""砂に覆われた大地。"""
ssc_506030_0140#0,"""周囲を囲む山々。"""
ssc_506030_0150#0,"""隔絶された世界のなかで、<br>視野も狭くなっていたのであろう。"""
ssc_506030_0160#0,"""お前たちが、この地を訪れたとき、<br>多くの者は懐疑の目を向けていた。"""
ssc_506030_0170#0,"""エアリオとの共闘など、<br>不名誉極まりないとする声すらあった。"""
ssc_506030_0180#0,"""私が、最初にお前たちを拒絶したのは、<br>そうした民の意見もあってのことだ。"""
ssc_506030_0190#0,"""……今にして思えば、<br>くだらぬ矜持だ。"""
ssc_506030_0200#0,"""それに気づかせてくれたのも、<br>お前たちだ。"""
ssc_506030_0210#0,"""見知らぬ地で、<br>自ら率先して行動し、成果をあげた。"""
ssc_506030_0220#0,"""その姿に、<br>ジャリルやモフセンも心を開いた。"""
ssc_506030_0230#0,"""そして、私自身もな。"""
ssc_506030_0240#0,"""あらためて、礼を言わせてくれ。"""
ssc_506030_0250#0,"""リテムの危機を救ってくれて、<br>本当にありがとう。"""
ssc_506030_0260#0,"""みんなで頑張った。"""
ssc_506030_0270#0,"""マノンの気づきがあったから。"""
ssc_506030_0280#0,"""ああ、確かにそうだな。"""
ssc_506030_0290#0,"""確かに……。<br>己の力を見誤っていたとは、痛恨の極みだ。"""
ssc_506030_0300#0,"""……私は、ここに立つとき、<br>いつも慙愧の念をいだいていた。"""
ssc_506030_0310#0,"""それは、今でも変わらない……。"""
ssc_506030_0320#0,"""だが今は、<br>彼らに戦いの顛末を伝えることができる。"""
ssc_506030_0330#0,"""先人の奮闘があったからこそ、<br>今の私たちがある。"""
ssc_506030_0340#0,"""そして、最後には勝利を収めた。"""
ssc_506030_0350#0,"""その死は、<br>決して無駄ではなかったとな。"""
ssc_506030_0360#0,"""あわせて、私が捧げる歌に乗せる気持ちも、<br>変わってきている……。"""
ssc_506030_0370#0,"""……そういえば、<br>ずっと気になっていたのだが……。"""
ssc_506030_0380#0,"""マノンは、<br>なぜ“弔いの歌”を知っていたのだろう。"""
ssc_506030_0390#0,"""……わからない。"""
ssc_506030_0400#0,"""いろいろ調べたり、研究したりしてる。"""
ssc_506030_0410#0,"""そうか……。"""
ssc_506030_0420#0,"""本人に聞いてみたいが、<br>なにぶん特別な歌だ。"""
ssc_506030_0430#0,"""なにか、事情があるのかもしれないな。"""
ssc_506030_0440#0,"""代々、我が一族に、<br>受け継がれてきた歌ではあるが……。"""
ssc_506030_0450#0,"""広く民に知られた歌でもある。"""
ssc_506030_0460#0,"""事前にどこかで聞いていたとしても、<br>不思議ではないか。"""
ssc_506030_0470#0,"""……さて、長くなってしまったな。<br>話はこのくらいにしておこう。"""
ssc_506030_0480#0,"""もしよければ、<br>一緒に彼らの慰霊を。"""
