Begin#0,"""開始5244"""
Success#0,"""成功5244"""
Failure#0,"""失敗5244"""
Dead#0,"""自分死亡5244"""
BuddyDead#0,"""相手死亡5244"""
Evolution#0,"""発展5244"""
Begin#1,"""/ci1 1 ……これで形勢逆転ね！<br>私達も頑張るわよ、イツキ君！"""
Success#1,"""/ci1 1 ここではＲＩＮＡと呼んで。<br>その……わざわざ助けに来てくれて<br>ありがとうございます。"""
Failure#1,"""/ci4 1 私達、自分の力を過信しすぎね……<br>ごめんなさい、先に退きます。"""
Dead#1,"""そ、そんな……<br>こんなところでやられるなんて……"""
BuddyDead#1,"""ダメよイツキ君！<br>無理せず少し休んでなさい！"""
Begin#2,"""/mn22 /toge /ci3 4 こんなにエネミーがいるなんて……！<br>せっかくのイベント、邪魔させない！<br>一緒に頑張りましょう！"""
Success#2,"""/mn15 /ci2 1 手伝ってくれてありがとう。<br>これで、チョコを渡せる……<br>さ、行きましょ！"""
Failure#2,"""/mn1 せっかく作ったチョコが……！<br>ごめんなさい。<br>一度、出直してきます。"""
Dead#2,"""/mn7 そんな……<br>まだチョコを渡せてないのに……"""
BuddyDead#2,"""/mn36 アイカ、無理は禁物よ！<br>許さないわ……！"""
Begin#3,"""/ci3 3 行くわよ、リリカ！<br>皆が楽しむためのイベント！<br>邪魔なんてさせないわ！"""
Success#3,"""/ci2 2 /mn16 よし、こんなところね。<br>この調子でイベントを<br>成功させるわよ。"""
Failure#3,"""/mn5 せっかく作ったチョコが……！<br>台無しだわ……"""
Dead#3,"""/mn4 はりきって作ったのに<br>渡せないなんて……！"""
BuddyDead#3,"""/mn22 リリカ、無理はダメよ！<br>後は私たちに任せて！"""
