un_020550_0010#0,"""ว่าไง รุ่นพี่<br>ถ้าไม่ติดอะไรก็มานั่งพักซักเดี๋ยวนึงสิ"""
un_020550_0020#0,"""ยังไงก็ตาม เธอนี่<br>มีชื่อเสียงดังอยู่พอตัวเลยนะ <br>เค้าลือกันทั้งทางนู้นทางนี้เลย"""
un_020550_0030#0,"""ไม่ต้องถ่อมตัวหรอกน่า มันเป็นเรื่องจริง<br>ถึงกับมีคนบอกให้ข้ามาปรึกษาเธอหาก<br>ว่าข้ามีปัญหาเลยล่ะ"""
un_020550_0040#0,"""......รู้สึกว่ารุ่นพี่จะไม่ค่อยรู้เรื่อง<br>ของตัวเองเลยนะ แต่ข้าเชื่อว่า<br>คนรอบๆ ตัวเธอเค้าไม่ใช่แบบนั้นแน่"""
un_020550_0050#0,"""จะเป็นข่าวลือหรืออะไรก็ตาม<br>เรื่องที่ไม่เกี่ยวกับเจ้าตัวจริงๆ น่ะ<br>มันมักจะกลายเป็นเรื่องใหญ่ให้ลือเสมอ"""
un_020550_0060#0,"""สำหรับคนที่ไม่เคยเจอกับรุ่นพี่<br>เค้าอาจจะคิดว่ารุ่นพี่เป็นเอซ<br>ที่สุดยอดมากๆ ก็ได้นะ ฮะๆ"""
un_020550_0070#0,"""และนั่นก็ทำให้เกิดลผลถึงขนาดที่ว่าพวกเค้า<br>พยายามหลีกเลี่ยงที่จะเข้ามาคุยกับเธอ"""
un_020550_0080#0,"""แต่ก็นะ ดีแล้วล่ะที่ข้าได้รู้จักกับเธอ<br>ในสภาพที่ไม่รู้จักเธอมาก่อนเลย<br>จึงไม่ได้ทำเป็นพิธีรีตรองอะไรไป"""
un_020550_0090#0,"""แต่แน่นอนว่า<br>ถ้ารุ่นพี่ต้องการเช่นนั้น<br>ข้าก็ทำให้ได้นะ?"""
un_020550_0100#0,"""......ก็ว่าไปนั่น<br>เอาล่ะ เวลาพักหมดแล้ว<br>ไว้เจอกันใหม่นะ รุ่นพี่"""
un_020550_0010#1,"""よう、センパイ。<br>よければちょっと休憩していけよ。"""
un_020550_0020#1,"""それにしても、あんた<br>けっこう有名人だったんだな。<br>あちこちで噂されてたぞ。"""
un_020550_0030#1,"""謙遜するなよ、事実だぜ。<br>困ったらあんたに相談しろ、とか<br>よくわからん助言までされたよ。"""
un_020550_0040#1,"""……センパイ自身にはあんまり<br>自覚がない、って感じだな。<br>周りからはそうじゃないぜ、きっと。"""
un_020550_0050#1,"""噂にしろなんにしろ<br>本人と関わりのないところで<br>話は大きくなるものだしな。"""
un_020550_0060#1,"""会ったことない人にしてみれば<br>センパイはとんでもないエースと<br>思われてるかもな。ははっ。"""
un_020550_0070#1,"""それこそ、話しかけるのが<br>はばかられるほどに、さ。"""
un_020550_0080#1,"""ま、おれは無知な状態で<br>知り合えて良かったよ。<br>ヘンに堅苦しくならずにすんだ。"""
un_020550_0090#1,"""もっとも、センパイが<br>そういうのをお望みなら<br>そうするけど？"""
un_020550_0100#1,"""……なんてな。<br>さ、休憩はおしまい。<br>それじゃな、センパイ。"""
