name_7451#0,"""ヴィクトリア"""
ssn_016100_0001#0,"""アイム、ソーリー。<br>いま、ちょっと立て込んでて……。"""
ssn_016100_0002#0,"""また今度、お話ししよう。"""
ssn_016100_0101#0,"""ハーイ、ウェルカム！"""
ssn_016100_0102#0,"""あたしの話に、<br>興味を持ってくれたみたいだね。"""
ssn_016100_0103#0,"""紹介したいのは、<br>カードを使ったゲームなの。"""
ssn_016100_0104#0,"""名づけて、“ラインストライク”！"""
ssn_016100_0105#0,"""シティのデータベースを調べてて、<br>偶然見つかったんだって。"""
ssn_016100_0106#0,"""よければ、プレイしてみない？"""
ssn_016100_0201#0,"""ハーイ、ウェルカム！"""
ssn_016100_0202#0,"""“ラインストライク”、楽しんでる？"""
npc_menu_0001#0,"""タスクを受注する"""
npc_menu_0002#0,"""“ラインストライク”について聞く"""
npc_menu_0003#0,"""メニューを閉じる"""
npc_menu_0004#0,"""“ラインストライクNPC”について"""
npc_menu_0005#0,"""“ラインストライクのデッキ”について"""
npc_menu_0006#0,"""“ラインストライクのゲームルール”について"""
npc_menu_0007#0,"""“ラインストライクの対戦ルール種類”について"""
npc_menu_0008#0,"""“カードスクラッチ”について"""
npc_menu_0009#0,"""聞きたいことはない"""
npc_menu_0010#0,"""ラインストライクカードリサイクル"""
npc_menu_0011#0,"""ラインストライクカード交換"""
