name01#0,"""Aki"""
name02#0,"""Kuhna"""
name01#1,"""アキ"""
name02#1,"""クーナ"""
skit01#0,"""A dead end...?<br>Dammit! We're locked in!"""
skit02#0,"""There's even some crazed Dragorii here...That leaves us with no choice. We've got to suppress all hostiles in the area."""
skit01#1,"""行き止まり……？<br>しまった、閉じ込められたか！"""
skit02#1,"""狂った龍族まで……<br>仕方ありません、この場を<br>制圧するしかないようです。"""
skit01#0,"""/ci5 4 A dead end...?<br>Dammit! We're locked in!"""
skit02#0,"""/ci1 1 There's even some crazed Dragorii here...That leaves us with no choice. We've got to suppress all hostiles in the area."""
skit01#1,"""/ci5 4 行き止まり……？<br>しまった、閉じ込められたか！"""
skit02#1,"""/ci1 1 狂った龍族まで……<br>仕方ありません、この場を<br>制圧するしかないようです。"""
