un_010100_0010#0,"""ว่าไง <%me> ยังทำงานขยันขันแข็ง<br>เหมือนเดิมนะ ข้าน่ะเริ่มรู้สึกว่า<br>เหมือนถูกใช้แรงงานเยี่ยงทาสอยู่ล่ะ......"""
un_010100_0020#0,"""ไม่รู้เพราะอะไร พักนี้เหมือนมี<br>แต่งานที่ทำไม่จบไม่สิ้นซักที<br>พวกเขาให้ข้าไปโน่นมานี่ตลอดเวลาเลย"""
un_010100_0030#0,"""ก่อนหน้านี้ข้ายังว่างอยู่เลย<br>อยากทำอะไรก็ทำได้ตามใจชอบ"""
un_010100_0040#0,"""แต่พอช่วง D-arkers โผล่มาที่ดาว <br>Naberius นี้ ...... ใช่ ช่วงที่ข้า<br>ได้พบกันท่านเป็นครั้งแรกนั่นไงล่ะ"""
un_010100_0050#0,"""จนบัดนี้ข้าก็ยังไม่รู้ถึงสาเหตุที่ทำให้<br>พวกมันโผล่มามากมายแบบนั้นเลย<br>จะคิดถึงสาเหตุจริง ๆ ไปมากกว่านี้ก็กลัว"""
un_010100_0060#0,"""......เอาเถอะ ข้าไปล่ะนะ<br>ท่านเองก็พยายามเข้าล่ะ"""
un_010100_0010#1,"""よう、<%me><br>お前さんもずいぶんと働き者だな。<br>俺はなんだか強制労働者の気分だぜ……"""
un_010100_0020#1,"""最近にわかに活気づいててな<br>やれあっち調べろ、こっち調べろだの<br>依頼が多くてかなわん。"""
un_010100_0030#1,"""ちょっと前まではわりとのんびり<br>好き勝手できるぐらいだったのになあ。"""
un_010100_0040#1,"""契機は、この前のナベリウスでの<br>ダーカー出現……そう、お前さんと<br>初めて会ったあのときからか。"""
un_010100_0050#1,"""いまだにあの大発生の原因も<br>よくわかってねーみたいだし<br>これからもって考えるとおっかないな。"""
un_010100_0060#1,"""……んじゃ、俺は行くぜ。<br>お前さんもがんばれよ。"""
