name01#0,"""シエラ"""
text01#0,"""はい、３段目オッケーです！"""
text02#0,"""続いて、コンボの訓練です。"""
text03#0,"""スキルを習得することで、<br>通常攻撃の<red>「４段目」や「５段目」<c>を<br>使えるようになるんです！"""
text101#0,"""課題２：<yellow>通常攻撃の５段目を当てる"""
train_title#0,"""課題２：<yellow>通常攻撃の５段目を当てる"""
tut_title#0,"""通常攻撃の使用について"""
text100#0,"""・<%NormalAttack>通常攻撃を連続で押す"""
tut_win_title#0,"""『ダークブラストのスキル』について"""
tut_win_text099#0,"""メインメニューの「ダークブラスト」から<br><c ffff00>「スキルを習得する」<c>を選択することで<br>ダークブラストのスキル強化や<br>新しいスキルの習得を行うことができます。<br><br>スキルの強化や習得にはダークブラスト専用の<br><c ffff00>「ＥＸＰ」<c>が必要になります。<br>ＥＸＰはクエスト中に、エネミーを撃破すると<br>蓄積されていき、クエストクリア後に<br>蓄積分のＥＸＰを入手することができます。<br>（ＥＸＰはアカウント共通で蓄積されます）<br><br>スキルの中には、<c ffff00>解放条件<c>が<br>設けられているものも存在します。"""
tut_win_text100#0,"""エルダーフォームでは<br>メインメニューの「ダークブラスト」から<br>スキル<c ffff00>「通常攻撃コンボ追加１～２」<c>を<br>習得することで通常攻撃の４段目以降を<br>追加することができます。<br><br>４段目以降の通常攻撃は<br>繰り出すまでに時間がかかる分<br>攻撃力が非常に高くなっています。"""
