a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
Area0S#0,"""想定演習：強化エネミー討伐戦"""
Area0L#0,"""想定演習：強化エネミー討伐戦"""
Title#0,"""想定演習：強化エネミー討伐戦"""
Explanation#0,"""これは、バトルデータをもとに、能力を向上させたエネミーとの想定演習である。<br>現在の設定では、能力の強化された“ルイノ・グリフォン”との戦闘が体験できる。<br>――――――――――――――――――――――――――――――――――――――――<br><yellow>※エネミー能力強化：一定間隔ごとに自動的に追加攻撃発生<c>"""
Explanation_r2#0,"""これは、バトルデータをもとに、能力を向上させたエネミーとの想定演習である。<br>現在の設定では、能力の強化された“ルイノ・グリフォン”との戦闘が体験できる。<br>――――――――――――――――――――――――――――――――――――――――<br><yellow>※エネミー能力強化：一定間隔ごとに自動的に追加攻撃発生／<br>\u3000エンハンスドエネミー化<c>"""
Explanation_r3#0,"""これは、バトルデータをもとに、能力を向上させたエネミーとの想定演習である。<br>現在の設定では、能力の強化された“ルイノ・グリフォン”との戦闘が体験できる。<br>――――――――――――――――――――――――――――――――――――――――<br><yellow>※エネミー能力強化：一定間隔ごとに自動的に追加攻撃発生／<br>\u3000エンハンスドエネミー化／HP減少時に追加エネミー出現<c>"""
SimpleExplanation#0,"""ルイノ・グリフォンを倒す"""
s0#0,"""対象エネミーの撃破"""
normalMsg_1340350#0,"""ルイノ・グリフォンを倒す"""
