Title#0,"""แนวป้องกันหมู่บ้านเผ่า Lagomite"""
Explanation#0,"""มีรายงานเข้ามาว่า D-arker ฝูงใหญ่<br>กำลังจู่โจมหมู่บ้านของ Lilipa ที่ตั้งอยู่<br>ใน Abandoned Mine บน Lilipa<br>ภารกิจครั้งนี้คือกำจัด D-arker ที่<br>จู่โจมหมู่บ้าน ปกป้องและดูแล<br>ความปลอดภัยให้หมู่บ้านเผ่า Lagomite<br>ขอให้ ARKS ทุกคนไปที่ Abandoned Mine<br>ทันทีที่เตรียมตัวเสร็จ<br>------------------------------------<br>เงื่อนไขความล้มเหลว / ป้องกันไม่สำเร็จ"""
Title#1,"""リリーパ族集落防衛"""
Explanation#1,"""惑星リリーパの採掘場跡に存在する<br>リリーパ族の集落が、ダーカーの大群に<br>襲撃されているとの連絡が入った。<br>今回の任務は、集落を襲撃している<br>ダーカーを殲滅、リリーパ族の集落を防衛し<br>安全を確保することにある。<br>アークス各員は準備が整い次第<br>順次、採掘場跡へと出撃せよ。<br>――――――――――――――――――――<br>失敗条件/防衛の失敗"""
SimpleExplanation#0,"""ป้องกันหมู่บ้านที่อยู่ในส่วนลึกที่สุดให้ได้!"""
SimpleExplanation#1,"""最深部の集落を防衛せよ！"""
a1#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a2#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
