un_012390_0010#0,"""啊，<%me>。<br>我跟你說喔，上次我聽了<br>那個偶像唱的歌耶。"""
un_012390_0020#0,"""歌聲好美，舞蹈也好炫，<br>該怎麼說，我著迷了呢......"""
un_012390_0030#0,"""曲子也很有魄力......"""
un_012390_0040#0,"""......那個，啦。<br><%me><br>你聽我說，可不準笑喔......？"""
un_012390_0050#0,"""我聽了那偶像唱的歌，<br>想起了一點點喔。"""
un_012390_0060#0,"""那是首很輕快、很活潑的歌。"""
un_012390_0070#0,"""可是聽著聽著，該怎麼說，<br>心裡面卻是越來越悲傷......"""
un_012390_0080#0,"""那位偶像，臉上的表情<br>一直保持著笑容......<br>心裡面到底是什麼感觸呢。"""
un_012390_0010#1,"""あ、<%me>。<br>聞いて聞いて、わたしこの前<br>あのアイドルさんの歌、聞いちゃった。"""
un_012390_0020#1,"""とてもきれいだし、踊りは凄いし<br>なんていうか、見とれちゃった……"""
un_012390_0030#1,"""歌も、迫力があって……"""
un_012390_0040#1,"""……あの、さ。<br><%me><br>笑わないで、聞いてくれる……？"""
un_012390_0050#1,"""あのアイドルさんの歌、聞いて<br>ちょっと思ったことがあるんだ。"""
un_012390_0060#1,"""すごく明るくて、元気な歌だった。"""
un_012390_0070#1,"""けど、聴いていたら、なんでだろう<br>とても哀しい気持ちになって……"""
un_012390_0080#1,"""あのアイドルさん、表情は<br>ずっと笑顔だったけど……<br>どんな気持ちだったんだろう。"""
