st_054135_0010#0,"""身体検査の結果は出た。<br>特に異常は見られないよ。"""
st_054135_0020#0,"""【巨躯】のような姿になったって<br>聞いたときは焦ったけど<br>数値としてはむしろ落ち着いてる。"""
st_054135_0030#0,"""ダーカー因子を使用しているから<br>落ち着くのかもしれない。"""
st_054135_0040#0,"""じゃあ、この仕組みを分析し<br>汎用化できれば……！"""
st_054135_0050#0,"""とはいえ、そもそもどうやって<br>あなたが能力を<br>得たか、ってところが不明だよねー。"""
st_054135_0060#0,"""……おっしゃるとおり。"""
st_054135_0070#0,"""……能力のことは分析を続けるとして<br>オメガの情勢のことも考えよう。"""
st_054135_0080#0,"""報告をそのまま受け取ると<br>ほとんど単騎駆けで、<br>皇帝を討ち取ったってことだよね。"""
st_054135_0090#0,"""……こともなげに言ってるけど<br>それって相当大変なことじゃないかな？<br>わたしの感覚がおかしいのかな？"""
st_054135_0100#0,"""いいやアルマ、君の感覚は正しい。<br>どちらかといえば<br>この人が異常だ。"""
st_054135_0110#0,"""そ、そんなことないよ！<br>この人は普通だよ！"""
st_054135_0120#0,"""ちなみにマトイ。<br>君も異常のほうに入るからね。"""
st_054135_0130#0,"""ひどい！<br>でも、それだったらアルマさんも……！"""
st_054135_0140#0,"""わたしは戦闘能力高くないよー。<br>そういうの得意だったのは<br>クラリスクレイスの方だから。"""
st_054135_0150#0,"""【巨躯】を惑星に封印してみせるとか<br>異常としか言いようがないけどね……<br>あれは、クラリスクレイス主導？"""
st_054135_0160#0,"""んーん、あれはわたしの仕業。<br>倒しても倒してもきりがなくて<br>封印するしかなかったのよ、あいつ。"""
st_054135_0170#0,"""正直、その場の思いつきで<br>やったようなものだったから<br>いやー、上手くいってよかった。"""
st_054135_0180#0,"""……三人とも異常、が<br>結論だね、これは。"""
st_054135_0190#0,"""その話はいったん置いて<br>ブラックホールはどうなりましたか？"""
st_054135_0200#0,"""二人の報告に前後して、ブラックホールの<br>拡大速度が緩和している。"""
st_054135_0210#0,"""うん、なんだかちょっと<br>二人を引っ張り出しやすくなったしね。"""
st_054135_0220#0,"""数値的にも感覚的にも<br>確実に効果は出ているようだ。"""
st_054135_0230#0,"""……よし！<br>それじゃ、オメガでの活動を<br>頑張っていれば、きっと！"""
st_054135_0240#0,"""二人とも。<br>張り切るのはいいけど<br>……無理だけはしないでね。"""
st_054135_0250#0,"""１．何か不安なことでも？"""
st_054135_0260#0,"""２．マトイこそ無理してない？"""
st_054135_0270#0,"""不安、ってわけじゃないんだけど<br>……何て言ったらいいんだろう。<br>ちょっと気になることがあって。"""
st_054135_0280#0,"""無理、してるわけじゃないけど<br>ちょっと気になることがあって。"""
st_054135_0290#0,"""アルマさんの手伝いで<br>フォトンを弄ったりしてると<br>……なんだか、感じるんだ。"""
st_054135_0300#0,"""あなたたちとも<br>ダーカーとも違う、変な感じを。<br>変な風に、弄られてる感覚を。"""
st_054135_0310#0,"""……残念ながら、わたしも<br>シャオくんも、それについては<br>わからない。"""
st_054135_0320#0,"""でも、二代目ちゃんがそう感じるなら<br>きっとよからぬことがあるんだと思う。<br>わたしたちの想像し得ない形で、さ。"""
st_054135_0330#0,"""ファルス・ヒューナルの出現も想定外。<br>そして君の、ダークファルスの力を<br>利用した、新たなる能力も……"""
st_054135_0340#0,"""……くれぐれも、気を付けて。<br>君達が倒れてしまったら<br>元も子もないんだからね。"""
st_054135_0350#0,"""そうだよー、あんまり<br>あなたが無理すると<br>二代目ちゃんが心配しすぎて倒れるよー。"""
st_054135_0360#0,"""あ、あはは……<br>そこまではいかないと思うけど。"""
st_054135_0370#0,"""その……本当に気を付けてね。"""
skit01#0,"""The Rebellion to Elder"""
skit02#0,"""決死の反逆"""
