ssc_503060_0010#0,"""Hey, it's you."""
ssc_503060_0020#0,"""The last time we met in Retem<br>was our battle against Lenus, wasn't it?"""
ssc_503060_0030#0,"""Why're you all the way out here?"""
ssc_503060_0040#0,"""Did something happen?"""
ssc_503060_0050#0,"""I was visiting Retem City to ask<br>Hadi's group for some advice."""
ssc_503060_0060#0,"""Now that I've done that,<br>I was just taking a break up here."""
ssc_503060_0070#0,"""Oh no, don't worry. I just came to<br>visit with Hadi's group."""
ssc_503060_0080#0,"""I could've just contacted them via transmission,<br>but I think it's just nicer to meet in-person."""
ssc_503060_0090#0,"""I've finished all that though, so now I'm taking a break up here."""
ssc_503060_0100#0,"""Hadi and I have known each other<br>for a long time now."""
ssc_503060_0110#0,"""...This happened a long time ago, but..."""
ssc_503060_0120#0,"""I was on an expedition to Retem when we<br>suddenly got ambushed by a horde of DOLLS."""
ssc_503060_0130#0,"""That's when I ran into Hadi."""
ssc_503060_0140#0,"""We had a rough go of it, but Hadi's group had suffered even more losses than us."""
ssc_503060_0150#0,"""Hadi was an elite and brave ARKS, but back then, he tried to<br>do too much by himself to protect his allies from danger."""
ssc_503060_0160#0,"""Eventually, it would lead to him being<br>surrounded by DOLLS on all fronts."""
ssc_503060_0170#0,"""I helped to pull him<br>out of that predicament."""
ssc_503060_0180#0,"""We've been comrades-in-arms ever since."""
ssc_503060_0190#0,"""We probably found a lot in common with each other;<br>we're both Casts, and we're leaders of our own groups."""
ssc_503060_0200#0,"""As the war effort in Retem worsened, and as we couldn't<br>afford to send troops to help them, our interactions soured a bit..."""
ssc_503060_0210#0,"""But now, we've been recapturing<br>the friendship we once had."""
ssc_503060_0220#0,"""This, too, is entirely thanks to<br>the efforts of you and the girls."""
ssc_503060_0230#0,"""I very much appreciate it."""
