Title#0,"""極限訓練：異界と超界"""
Explanation#0,"""絶対的な危機での戦闘能力を測るため<br>疑似再現された空間内での訓練プログラムが<br>確立された。腕に覚えのあるアークス各員は<br>己の限界に挑戦せよ。危険性が高い訓練の為<br>「エクストリームパス」が必要となる。<br>――――――――――――――――――――<br>ダークブラスト使用不可<br>スケープドール・ハーフドール使用禁止<br>失敗条件/パーティー全員の戦闘不能<br>制限時間の経過"""
SimpleExplanation#0,"""５つのステージを制覇せよ！"""
Area0S#0,"""VR空間(極) エリア"""
Area0L#0,"""VR空間(極) エリア"""
Area1S#0,""" VR空間(極) エリア"""
Area1L#0,""" VR空間(極) エリア"""
Area2S#0,""" VR空間(極) エリア"""
Area2L#0,""" VR空間(極) エリア"""
Area3S#0,""" VR空間(極) エリア"""
Area3L#0,""" VR空間(極) エリア"""
Area4S#0,""" VR空間(極) エリア"""
Area4L#0,""" VR空間(極) エリア"""
Area5S#0,""" VR空間(極) エリア"""
Area5L#0,""" VR空間(極) エリア"""
Area6S#0,""" VR空間(極) エリア"""
Area6L#0,""" VR空間(極) エリア"""
Area7S#0,""" VR空間(極) エリア"""
Area7L#0,""" VR空間(極) エリア"""
Area8S#0,""" VR空間(極) エリア"""
Area8L#0,""" VR空間(極) エリア"""
Area9S#0,""" VR空間(極) エリア"""
Area9L#0,""" VR空間(極) エリア"""
Area10S#0,""" VR空間(極) エリア"""
Area10L#0,""" VR空間(極) エリア"""
QuestInfoAreaName#0,""" VR空間(極)"""
a2#0,"""エクストリームパス\u3000１個の<br>支払いがキャンプシップにて必要。"""
