st_053060_0430#0,"""怎麼樣，布魯納。<br>魯茲的樣子……"""
st_053060_0440#0,"""……無法確認。<br>沒錯的話應該會捲進崩落裏去了。"""
st_053060_0450#0,"""這樣麼……"""
st_053060_0460#0,"""阿麗莎大人……"""
st_053060_0470#0,"""……我沒事，早就做好了覺悟。<br>叔父大人變得奇怪<br>從最開始的樣子就明白了。"""
st_053060_0480#0,"""……那是精神混亂了吧？"""
st_053060_0490#0,"""額……？"""
st_053060_0500#0,"""我能看出來他是被<br>某種更加強大的意識所操縱的。"""
st_053060_0510#0,"""強大的意識……<br>那是什麼，哥哥。"""
st_053060_0520#0,"""……現在還不知道。<br>但是，只是這種規模的話<br>救世主應該不會出現才對。"""
st_053060_0530#0,"""這已經不僅僅是這個國家的問題了。<br>席捲世界的災禍開始了。<br>……是的吧，守護輝士。"""
