name01#0,"""Pati"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
text01#0,"""อาวล่ะ มาถึงดาว Wopal กันซะที !<br>แหม่ ทะเลสวยจนแสบตาเลยเนอะ !<br>งั้นออกไปหาข้อมูลกันเลยดีกว่า Tia !"""
text02#0,"""อ้าว ลืมไปไม่ใช่ Tia นี่นา !<br>ใช่ ไม่ใช่ Tia !<br>โทษทีๆ พอดีมันเคยชินน่ะ"""
text03#0,"""วันนี้จะปล่อยให้ Tia ได้พักบ้างละกัน<br>แล้วชั้นจะหาข้อมูลเยอะๆกลับไปให้ตกใจเล่นซะเลย !<br>อย่าไปบอก Tia นะ !"""
text04#0,"""ปกติต้องมาเหนื่อยตลอดเลยนี่น้า<br>นานๆทีก็ต้องให้ได้พักซะบ้าง<br>นี่แหละ ! ความใจดีของคนเป็นพี่ !"""
text05#0,"""และนี่เอง ที่ทำให้สมาชิกลับของทีม Pati and Tia <br>คนที่สามอย่างเธอจะได้ออกโรง !<br>เรื่องนี้อย่าไปบอกให้ใครรู้ล่ะ !"""
11_voice_NPC_5013_100#0,"""เอ้าไปกันได้แล้ว !<br>ถึงเรื่องมันจะกลายเป็นแบบนี้<br>แต่ข้าก็ชอบที่จะออกมาทำภารกิจกับท่านน่ะนะ !"""
text01#1,"""さーて、やってきましたここウォパル！<br>いやー、まぶしい海だねー！<br>それじゃ情報収集開始だよ、ティア！"""
text02#1,"""って、ティアじゃない！<br>そうだティアじゃなかった！<br>ごめんごめん、ついいつものクセで。"""
text03#1,"""今日はティアにゆっくり休んでもらって<br>そのぶんあたしが情報集めに走るという<br>寸法なのさ！\u3000ティアには内緒でね！"""
text04#1,"""いっつも苦労してばっかりだからねー。<br>時にはあの子にも休んでもらわないと<br>ほら！\u3000姉としての！\u3000威厳が！"""
text05#1,"""そこで、第三のパティエンティア<br>隠しキャラたるアナタの出番！<br>他の誰にも頼めないことだよ！"""
11_voice_NPC_5013_100#1,"""さあさあ行こ行こ！<br>そういう事情があるとしても<br>アナタとの任務、楽しみなんだから！"""
