msc_023100_0010#0,"""あれ？<br>お父さんたちに会いに来てくれたの？"""
msc_023100_0020#0,"""ありがとう。<br>みんなも喜ぶよ。"""
msc_023100_0030#0,"""はあ……。"""
msc_023100_0040#0,"""どうしたの？"""
msc_023100_0050#0,"""また、ため息。"""
msc_023100_0060#0,"""うん、ちょっとね……。"""
msc_023100_0070#0,"""ああ……。<br>前も、そうだったっけ。"""
msc_023100_0080#0,"""……ヒトに教えるのって、<br>やっぱり簡単じゃないんだなって。"""
msc_023100_0090#0,"""最近は、訓練マニュアルを読みかえしたりして、<br>少しずつ自分なりの教えかたを見つけてたんだ。"""
msc_023100_0100#0,"""それに、ライサスの教えかたをメリから聞いて……。"""
msc_023100_0110#0,"""ひとりひとりの“個性を見極める”ってのも、<br>試してみたんだけど。"""
msc_023100_0120#0,"""自由にやってみてって言ったら、<br>勝手なことを始める子がでてきちゃって。"""
msc_023100_0130#0,"""そうじゃないって言っても、<br>聞いてくれなくてさ。"""
msc_023100_0140#0,"""あたし、厳しく教えるなんてできないし、<br>でも、今のままだとダメかなって……。"""
msc_023100_0150#0,"""……うーん、少し考えてみる。"""
msc_023100_0160#0,"""話、聞いてくれてありがとう。"""
msc_023100_0170#0,"""えーと……。<br>そろそろ行くね。"""
msc_023100_0180#0,"""もう少ししたら、偵察訓練で、<br>みんなでリテムまで行くことになってるんだ。"""
msc_023100_0190#0,"""長い移動になるから、みんなの気持ちを、<br>しっかりまとめておかないと、危ないよね……。"""
msc_023100_0200#0,"""それまでに、答えを見つけないと。"""
msc_023100_0210#0,"""それじゃ、ね。"""
