un_020570_0010#0,"""......อ๊ะ สวัสดีครับ<br>ท่าน <%me>"""
un_020570_0020#0,"""...คือผมมาลองตรวจสอบดูนิดหน่อยน่ะครับ <br>เรื่องคาใจ...... ตามที่ท่านอาจารย์บอก <br>เรื่องของ Void"""
un_020570_0030#0,"""ศึกษาวิจัยการวิวัฒนาการของสิ่งมีชีวิตต่างๆ<br>เพื่อการสร้าง ARKS ที่มั่นคงยิ่งขึ้น<br>นั่น คือจุดประสงค์บังหน้าของ Organization Void"""
un_020570_0040#0,"""ผลลัพธ์จากการวิจัยจะถูกมอบให้ ARKS<br>และก็จะกลายเป็นพื้นฐานของการวิจัยต่อไป<br>เพื่อที่จะไปถึง Void... เพื่อที่จะไปถึงความรอบรู้"""
un_020570_0050#0,"""เพียงแต่ว่า ถ้าเพื่อการนั้นแล้ว<br>พวกเขาจะไม่เลือกวิธีการใดๆ ทั้งสิ้น<br>......เป็นองค์กรที่ไร้ซึ่งมนุษยธรรมครับ"""
un_020570_0060#0,"""ไม่ใช่แค่ Deuman เท่านั้นแต่องค์ประกอบ<br>ของเผ่าอื่นๆ หรือเรื่องมังกรคลั่งก่อนหน้านี้เอง<br>ทั้งหมดนั่นคือการวิจัยที่ไม่หวนมองถึงผู้สังเวย......"""
un_020570_0070#0,"""อาจจะเพราะเหตุนั้น ท่านอาจารย์ถึง<br>มักจะกำชับผมว่าจงให้ความสำคัญกับ<br>ชีวิตของสิ่งมีชีวิตครับ"""
un_020570_0080#0,"""เค้าสอนเรื่องนั้นให้ผมทั้งๆ ที่รู้ว่าผม<br>เป็นสปาย ก็เพื่อที่จะให้ผมสามารถ<br>แยกแยะผิดถูกได้ด้วยตนเอง......"""
un_020570_0090#0,"""เป็นคนที่ใช้ไม่ได้จริงๆ เลยนะครับ<br>ไม่พูดออกมาตรงๆ แต่กลับแสดง<br>ให้เห็นด้วยการกระทำ"""
un_020570_0100#0,"""ขอเพียงแค่พูดว่า ออกจาก Organization ซะ<br>แล้วก็ตามชั้นมา เท่านั้น ผมก็จะตามเค้าไป<br>ทุกๆ ที่ ทุกๆ เวลาแล้วแท้ๆ ......"""
un_020570_0110#0,"""ฮะฮะ เรื่องที่พูดไปเมื่อกี้<br>เป็นข้อมูลลับนะครับ"""
un_020570_0120#0,"""ถ้าเรื่องการตรวจสอบแดงออกไป<br>คาดว่าตัวผมคงจะไม่จบง่ายๆ แน่<br>คิดว่าท่านอาจารย์เองก็คงจะโดนเช่นกัน"""
un_020570_0130#0,"""......ขอบคุณที่ช่วยฟัง<br>ผมพูดนะครับ<br>ผมรู้สึกโล่งขึ้นใจขึ้นมาบ้างแล้วล่ะครับ"""
un_020570_0010#1,"""……あ、どうも。<br><%me>さん。"""
un_020570_0020#1,"""……少し調べてみたんです<br>先生の教えの通りに……<br>気になったことを。機関のことを。"""
un_020570_0030#1,"""より盤石なアークスのために<br>様々な生命の進化を研究している。<br>それが、虚空機関の表向きの目的。"""
un_020570_0040#1,"""研究成果はアークスへと反映され<br>さらなる研究の礎とする。<br>虚空へ……全知へと、至るため。"""
un_020570_0050#1,"""ただし、そのためになら<br>一切の手段を選ばない。<br>……人道とは真逆にある組織です。"""
un_020570_0060#1,"""デューマンだけじゃない<br>他の種族の組成も、先日の暴走龍も<br>犠牲を顧みない研究あってこそ……"""
un_020570_0070#1,"""先生は、だから僕にずっと<br>生きている命の大切さを<br>謳っていたんでしょう。"""
un_020570_0080#1,"""僕がスパイということを承知の上で<br>やっていることの正邪を<br>自分で判断できるように……"""
un_020570_0090#1,"""本当に不器用な人ですよね。<br>はっきりと言わず、行動で<br>示そうとしてくる。"""
un_020570_0100#1,"""ただ一言、機関なんて抜けて<br>ついてこいって言ってくれれば<br>僕はいつでもついていったのに……"""
un_020570_0110#1,"""ははっ、今話したこと<br>全部機密の情報です。"""
un_020570_0120#1,"""調べたことがばれたら<br>僕もただではすみませんね。<br>きっと先生も、同じだったんでしょう。"""
un_020570_0130#1,"""……聞いてくださって<br>ありがとうございました。<br>ちょっと、すっきりしました。"""
