name01#0,"""Jasper"""
name01#1,"""ジャスパー"""
text00#0,"""อืม ทำออกมาได้สวยมาก<br>ขอบคุณมากนะ"""
text01#0,"""ไม่มีที่ติ<br>คราวหน้ามาช่วยใหม่นะ"""
text02#0,"""หื่ม ยอดเยี่ยม<br>ขอบคุณมากจริงๆ"""
text03#0,"""ได้รับของแล้ว<br>ขอบคุณมากจริงๆ"""
text04#0,"""โอ้ เสร็จแล้วเหรอ<br>ยอดมาก ขอบคุณจริงๆ"""
text05#0,"""อืม เรียบร้อยดีมาก<br>ขอขอบคุณนะ"""
text06#0,"""สมบูรณ์แบบมาก<br>ต้องขอขอบคุณจริงๆ"""
text07#0,"""ได้รับของแล้ว<br>ขอบคุณมาก"""
text08#0,"""ฝีมือเยี่ยม<br>ขอบคุณมาก"""
text09#0,"""เยี่ยมมาก<br>ไม่มีที่ติ คราวหน้าก็ช่วยอีกนะ"""
text00#1,"""うむ、よい出来だ。<br>感謝を申し上げる。"""
text01#1,"""よい仕上がりである。<br>次も頼まれてくれ。"""
text02#1,"""ふむ、見事だ。<br>誠に感謝いたす。"""
text03#1,"""よくぞ持ってきてくれた。<br>お主には感謝しておる。"""
text04#1,"""おお、出来たか。<br>よい仕上がりだ、感謝する。"""
text05#1,"""うむ、よい出来である。<br>礼を言おう。"""
text06#1,"""見事な品である。<br>実にありがたいことだ。"""
text07#1,"""確かに受け取った。<br>感謝申し上げる。"""
text08#1,"""見事な手並み。<br>誠に感謝する。"""
text09#1,"""よい品だ。<br>かたじけない。次も頼む。"""
text00#2,"""ทำออกมาได้ยอดเยี่ยมมากๆ<br>ต้องขอขอบคุณจริงๆ"""
text01#2,"""ยอดเยี่ยมไร้ที่ติ<br>คราวหน้าจะขอให้ช่วยอีกนะ"""
text02#2,"""หื่ม ดีกว่าที่สั่งไว้ซะอีกนะ<br>ขอบคุณจริงๆ"""
text03#2,"""จำได้ว่าไม่ได้สั่งของดีขนาดนี้นะ<br>คราวหน้าคงต้องรบกวนอีกสักครั้งแล้ว"""
text04#2,"""รู้เลยว่าต้องใช้ฝีมือขนาดไหน<br>ถึงได้ออกมาเยี่ยมยอดขนาดนี้<br>ขอขอบคุณจากใจ"""
text05#2,"""ของชั้นเลิศเลยนะเนี่ย<br>ประทับใจมาก<br>ขอขอบคุณจริงๆ"""
text06#2,"""คงต้องใช้ความพยายามมากเลยสินะ<br>ขอบคุณจริงๆ"""
text07#2,"""นี่มันศิลปะชัดๆ<br>ยอดเยี่ยมมาก<br>ขอบคุณจริงๆ"""
text08#2,"""โอ้ ยอดเยี่ยมอะไรอย่างนี้<br>ขอขอบคุณจริงๆ"""
text09#2,"""ฝีมือไร้ที่ติ<br>ศิลปะชัดๆ<br>ต้องขอขอบคุณจริงๆ"""
text00#3,"""素晴らしい出来である。<br>至極、感謝を申し上げる。"""
text01#3,"""素晴らしい出来だ。<br>次も頼もうぞ。"""
text02#3,"""ふむ、上々の出来栄えである。<br>感謝は尽きぬ。"""
text03#3,"""堂々たる出来栄えだ。<br>更なる活躍を期待しよう。"""
text04#3,"""妙なる技とは言ったものだ。<br>誠に素晴らしい出来である。<br>感謝申し上げよう。"""
text05#3,"""尽力がうかがえる品だ。<br>感謝は尽きぬ。<br>礼を言おう。"""
text06#3,"""力を尽くされた逸品だ。<br>実にありがたい。"""
text07#3,"""珠玉の逸品とは正にこの事。<br>見事と言えよう。<br>幸甚の至りである。"""
text08#3,"""おお、これは正に絶品。<br>尽力に感謝しよう。"""
text09#3,"""実に見事な腕前。<br>珠玉の逸品とは正にこの事。<br>感謝は尽きぬ、礼を言おう。"""
