ra_010640_0010#0,"""เธอ มาทำอะไรที่นี่น่ะ?"""
ra_010640_0020#0,"""ตามหาของ?<br>หรือว่าตามหาคนอยู่กันล่ะ?"""
ra_010640_0030#0,"""......เอาเถอะ ไม่ว่าจะอย่างไหน<br>ยังไงก็ไม่เกี่ยวกับชั้นอยู่แล้ว<br>เพราะงั้นจะเป็นอย่างไหนก็ช่างเถอะ"""
ra_010640_0040#0,"""แต่ถ้าไปตรวจสอบอะไรแปลกๆ เข้า<br>เดี๋ยวจะถูกลบทิ้งเอาได้นะ<br>เหมือนกับนักวิชาการคนนั้นยังไงล่ะ"""
ra_010640_0050#0,"""......หืมม เธอคือ<br><%me>......<br>เข้าใจล่ะ เป็นอย่างนี้นี่เอง"""
ra_010640_0060#0,"""ถ้าหาว่าเธอมาหาของล่ะก็<br>ชั้นก็ไม่รู้เรื่องอะไรหรอก<br>เพราะยังไงชั้นก็ไม่เกี่ยวอยู่แล้ว"""
ra_010640_0070#0,"""แต่ถ้าเธอมาตามหาคนล่ะก็<br>ลองไปที่ Lilipa ดูสิ"""
ra_010640_0080#0,"""ถ้าไปถูกจังหวะล่ะก็ ไม่แน่ว่าอาจจะ<br>มีใครบางคนรออยู่ที่ทางเดินใต้ดินด้านในก็ได้นะ"""
ra_010640_0090#0,"""มีใครอยู่ น่ะเหรอ?<br>เรื่องนั้นน่ะไปตรวจสอบด้วยตัวเองสิ<br>เพราะมันก็ไม่เกี่ยวกับชั้น"""
ra_010640_0100#0,"""A.P.238/3/29"""
ra_010640_0010#1,"""貴方、ここで何をしているの？"""
ra_010640_0020#1,"""探しもの？<br>それとも、探し人、かしら？"""
ra_010640_0030#1,"""……ま、どっちでも<br>あたしには関係ないし<br>どうでもいいんだけどね。"""
ra_010640_0040#1,"""ヘンなことを調べていると<br>消されちゃうわよ。<br>あの学者みたいにね。"""
ra_010640_0050#1,"""……ふうん、貴方が<br><%me>……<br>なるほどね、そういうワケか。"""
ra_010640_0060#1,"""もし、貴方がものを探していたなら<br>それはあたしにはわからないわ。<br>関係ないしね。"""
ra_010640_0070#1,"""でも、貴方が、人を探していたのなら<br>リリーパに行きなさい。"""
ra_010640_0080#1,"""うまくタイミングがあったのなら<br>坑道の奥で、誰かが待ってるかもよ。"""
ra_010640_0090#1,"""誰がいるのか、って？<br>そんなの自分で調べてきなさいよ。<br>あたしには、関係ない。"""
ra_010640_0100#1,"""A.P.238/3/29"""
