name01#0,"""希爾達"""
name02#0,"""『サブパレット』について"""
skit01#0,"""/toge 喂喂！　沒事吧？伙伴！？"""
11_voice_navi02_114#0,"""受到攻擊了麼？<br>受傷時立即治療是基本的處理，<br>那就也來學習關於恢復的方法吧。"""
11_voice_navi02_115#0,"""來吧，實際使用壹型療劑看看，<br>補給物資就是為了這個時候<br>而準備的。"""
text00#0,"""關於『HP恢復』"""
text01#0,"""教學<br>說明關於『HP恢復』。<br><br>受到敵人攻擊而減少的HP，<br>可以使用「壹型療劑」等道具來恢復。"""
text02#0,"""恢復藥水已經放到快捷列裡了，<br>在此選擇「壹型療劑」試著恢復看看吧。<br>按下鍵盤的<%SubPalette1>即可恢復。<br><br><red>※完成此新手教學之後，就可以移動快捷列的游標了。"""
text03#0,"""恢復藥水已經放到快捷列裡了，<br>在此選擇「恢復藥水」試著恢復看看吧。<br>以<%SubPaletteLeft>和<%SubPaletteRight>移動快捷列游標位置，再以<%SubPalette>決定。<br><br><red>※完成此新手教學之後，就可以移動快捷列的游標了。"""
text100#0,"""使用壹型療劑恢復！"""
text1000#0,"""以<%SubPalette1>使用壹型療劑恢復吧！"""
text1001#0,"""以<%SubPalette>使用壹型療劑恢復吧！"""
text201#0,"""使用壹型療劑恢復！"""
text202#0,"""使用壹型療劑恢復！"""
text203#0,"""サブパレットの使用：<%SubPalette1>"""
text204#0,"""サブパレットの使用：<%SubPalette>"""
text205#0,"""サブパレットの使用：<br>アイコンをタッチ"""
skit01#1,"""/ci3 2 /toge 喂喂！　沒事吧？伙伴！？"""
skit01#2,"""/toge 喂喂！　沒事吧？伙伴！？"""
11_voice_navi02_114#1,"""受到攻擊了麼？<br>受傷時立即治療是基本的處理，<br>那就也來學習關於恢復的方法吧。"""
11_voice_navi02_115#1,"""來吧，實際使用壹型療劑看看，<br>補給物資就是為了這個時候<br>而準備的。"""
text00#1,"""關於『HP恢復』"""
text01#1,"""チュートリアル<br>『ＨＰ回復』について説明します。<br><br>敵からダメージを受けて減少したＨＰ（ヒットポイント）は<br>アイテムを使用することで回復することができます。"""
text02#1,"""<yellow>サブパレット<c>に回復薬が登録されているので<br>ここでは「モノメイト」を選んで回復してみましょう。<br>キーボードの<%SubPalette1>を押すと、回復を行います。<br><br><red>※サブパレットのカーソルは、このチュートリアルをクリア後、<br>\u3000\u3000動かせるようになります。"""
text03#1,"""<yellow>サブパレット<c>に回復薬が登録されているので<br>ここでは「モノメイト」を選んで回復してみましょう。<br>サブパレットのカーソルは<%SubPaletteLeft>と<%SubPaletteRight>で動かし<br><%SubPalette>を押して決定します。<br><br><red>※サブパレットのカーソルは、このチュートリアルをクリア後、<br>\u3000\u3000動かせるようになります。"""
text04#0,"""恢復道具有多項種類。<br>．恢復藥水　小恢復<br>．強力恢復藥水　中恢復<br>．完全恢復藥水　全恢復<br><br>左下的數字是目前持有的數量。<br>若持有數已達最大限制，數字會顯示為橘色。"""
text100#1,"""使用壹型療劑恢復！"""
text1000#1,"""以<%SubPalette1>使用壹型療劑恢復吧！"""
text1001#1,"""以<%SubPalette>使用壹型療劑恢復吧！"""
