st_058180_0010#0,"""……歡迎回來。"""
st_058180_0020#0,"""我回來了"""
st_058180_0030#0,"""夏歐、黑洞的情况……？"""
st_058180_0040#0,"""不用擔心。<br>在你們歸來前後<br>黑洞也消失了。"""
st_058180_0050#0,"""同時、連絡報告地球一側的黑洞<br>也已經消失了。"""
st_058180_0053#0,"""……也就是說、歐米茄<br>也一起消失了嗎？"""
st_058180_0056#0,"""歐米茄是阿卡西記錄具現的世界。<br>那邊還保留在那邊、還在繼續。<br>可見的威脅已經消失了。"""
st_058180_0060#0,"""你們做得很好。<br>託你的福世界被拯救了……<br>接下來就是我的工作了。"""
st_058180_0070#0,"""【假面】是……"""
st_058180_0080#0,"""【深遠之暗】是……"""
st_058180_0090#0,"""反応完全消失了。<br>從納貝留斯附近也無法感知。"""
st_058180_0100#0,"""如果只看數據的話<br>消失的判斷更爲恰當。"""
st_058180_0110#0,"""但是……【假面】<br>借給了你力量也是事實。"""
st_058180_0120#0,"""……嗯。<br>我也感覺到了。<br>雖然不是很清楚、但感覺得到。"""
st_058180_0130#0,"""在你心中、那個人……<br>以前從未有過的溫暖。<br>……稍微前進了一點吧。"""
st_058180_0140#0,"""無論是<%me>還是瑪托依<br>一直工作已經很累了吧。<br>暫時讓身體休息一下。"""
st_058180_0150#0,"""是啊。<br>體檢什麼的也要<br>不然會被罵的。"""
st_058180_0160#0,"""雪拉、你也是。<br>艦橋由我代管。"""
st_058180_0170#0,"""誒！？<br>我也是嗎？"""
st_058180_0180#0,"""解決未知世界的問題。<br>你也一直參與其中。<br>稍微休息一下就好了。"""
st_058180_0190#0,"""沒想到、沒想到夏歐<br>會對我說那樣的話<br>……這會讓我長壽的！"""
st_058180_0200#0,"""雖然經歷了很多困難<br>但終究獲得了好的結局、就是這樣吧！"""
st_058180_0210#0,"""……的確如此。<br>再次感謝您在那個世界上的努力。"""
st_058180_0220#0,"""瓦爾納……桑！？"""
st_058180_0225#0,"""應該只在歐米茄的你<br>爲什麼會在這裏……！？"""
st_058180_0230#0,"""我也是和你們一樣的存在。<br>理由僅此而已。"""
st_058180_0240#0,"""<%me>殿。<br>請這邊走。"""
st_058180_0250#0,"""去迎接我的主人吧。"""
st_058180_0260#0,"""……瓦爾納桑。<br>你的目的是什麼？"""
st_058180_0270#0,"""我沒有目的。<br>只為我主的目的而盡力。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
