msc_013090_0010#0,"""ただいま。"""
msc_013090_0020#0,"""お帰り、メリ。あれ、お客さん？"""
msc_013090_0030#0,"""……あ！\u3000今度こそ、イルマ？"""
msc_013090_0040#0,"""クッカよ。わたしの兄。"""
msc_013090_0050#0,"""はじめまして。"""
msc_013090_0060#0,"""驚くよね。<br>わたしたち、五つ子なの。"""
msc_013090_0070#0,"""五つ子！？"""
msc_013090_0080#0,"""そう、上からタイヴァスにトゥーリ。<br>それからイルマに、クッカ、わたし。"""
msc_013090_0090#0,"""そうだったんだ……。"""
msc_013090_0100#0,"""ここには、あなたたちだけで暮らしているの？"""
msc_013090_0110#0,"""はい。両親は幼いころに亡くなって……、<br>代わりにおじいちゃんが育ててくれたんですが……。"""
msc_013090_0120#0,"""そのおじいちゃんも、少し前に亡くなったの。"""
msc_013090_0130#0,"""……そう……なんだ。"""
msc_013090_0140#0,"""イルマから連絡は？"""
msc_013090_0150#0,"""何か手がかりはないかしら。<br>彼が行きそうなところ、とか。"""
msc_013090_0160#0,"""イルマは兄妹の中でも、<br>とくに何を考えているか分からないから……。"""
msc_013090_0170#0,"""ただ、このところずっとロッジにこもって研究ばかりしていたの。<br>たまに調べものか何かでふらっといなくなって……。"""
msc_013090_0180#0,"""だから今回も最初は気にしてなかったんだけど……。"""
msc_013090_0190#0,"""とにかく、あたしたちも探すのを手伝うよ。"""
msc_013090_0200#0,"""よかったね。ぼくたちだけじゃ、困っていたところだもの。"""
msc_013090_0210#0,"""気持ちは嬉しいけど、迷惑はかけられないでしょ。"""
msc_013090_0220#0,"""え……？"""
msc_013090_0230#0,"""家族の問題は自分たちで何とかしなきゃ。"""
msc_013090_0240#0,"""でも……。"""
msc_013090_0250#0,"""タイヴァスとトゥーリが探しに出てるんだし。<br>大丈夫、心配はいらないわよ。"""
msc_013090_0260#0,"""ふたりはクヴァリスリージョンのことは、<br>隅々まで知り尽くしてるから。"""
msc_013090_0270#0,"""それに、どっちにしても捜索の案内とかいるでしょ。"""
msc_013090_0280#0,"""ふたりとも日が暮れるまでには戻ってくると思う。<br>だから、ここで待ってて。"""
msc_013090_0290#0,"""わたしは食事の準備をするから。食べていって。"""
msc_013090_0300#0,"""………。"""
name01#0,"""？？？"""
