IncidentName#0,"""リリーパ族の宝探し"""
TrialBeginMsg#0,"""宝を探すリリーパ族を最後まで守り抜け！"""
TrialAbstract#0,"""宝を探すリリーパ族を最後まで守り抜け！"""
NpcComOnBegin#0,"""今、現れたリリーパ族……<br>何かを探しているみたいですね。"""
NpcComOnBeginNext#0,"""なるほど……リリーパ族は何か<br>宝のようなものを探しているようです。<br>可能な限り、護衛してあげて下さい。"""
NpcComOnSuccess#0,"""目的の宝物が見つかったようですね。<br>もう護衛の必要もないでしょう。<br>通常任務へ復帰して下さい。"""
NpcComOnFailure#0,"""リリーパ族、大丈夫でしょうか……<br>失礼。残念ですが護衛失敗です。<br>通常任務に戻って下さい。"""
NpcComOnFindPlayer#0,"""あそこが、リリーパ族の目指している<br>目標地点のようですね。"""
NpcComOnFindLilipa#0,"""リリーパ族が目標地点を<br>発見したようです。"""
NpcComOnArrivalFirst#0,"""リリーパ族が目標地点に着きました。<br>どこからか敵が来るかもしれません<br>注意して護衛してください。"""
NpcComOnArrivalNext#0,"""再びリリーパ族が発掘を始めました。<br>何を探しているんでしょう……<br>失礼。引き続き警戒をしてください。"""
NpcComOnArrivalFinal#0,"""ここが最後の地点のようですね。<br>気を抜かず、最後までリリーパ族を<br>守ってあげましょう。"""
NpcComOnSearchFailure#0,"""この目標地点では、目的としている<br>宝物が見つからなかったようですね。"""
NpcComOnJoin#0,"""現在、宝物や遺物を発掘している<br>リリーパ族の護衛を行っています。<br>協力をお願いします。"""
NpcComOnBegin#1,"""そのリリーパ族は……<br>どうやら、何かを探しているようだな。"""
NpcComOnBeginNext#1,"""そのリリーパ族はガラクタから<br>宝物を発掘するつもりのようだ。<br>可能な限り護衛してやれ。"""
NpcComOnSuccess#1,"""目的の物が見つかったようだ。<br>もう護衛の必要もあるまい。<br>通常任務へ復帰しろ。"""
NpcComOnFailure#1,"""護衛失敗だな。<br>まあ、こういうこともある。<br>通常任務に戻れ。"""
NpcComOnFindPlayer#1,"""リリーパ族の目標としている場所は<br>あそこのようだ。"""
NpcComOnFindLilipa#1,"""リリーパ族が目標地点を<br>発見したようだ。"""
NpcComOnArrivalFirst#1,"""リリーパ族は発掘に夢中だな。<br>……こういう時に何かが起こる。<br>周辺警戒を怠るなよ。"""
NpcComOnArrivalNext#1,"""リリーパ族はまた発掘を始めたようだ。<br>……先程と同じ状況だ。<br>周囲の敵影に気をつけろ。"""
NpcComOnArrivalFinal#1,"""ここが最終地点のようだな。<br>最後まで気を抜くなよ。"""
NpcComOnSearchFailure#1,"""ふむ……ここでは目的の物が<br>見つからなかったようだな。"""
NpcComOnJoin#1,"""遺物発掘を行っているリリーパ族の<br>護衛を行っている。<br>可能なら協力してやれ。"""
NpcComOnBegin#2,"""おややっ？\u3000あれ、リリーパ族ですね。<br>何か探してるみたいですけど……"""
NpcComOnBeginNext#2,"""うーん、どうやらがらくたの中から<br>宝物とかを探し出す気みたいです。<br>できるだけ守ってあげてもらえますか？"""
NpcComOnSuccess#2,"""/face2 やりました！\u3000無事宝物を見つけ出せた<br>みたいですよ！\u3000お疲れ様でした！"""
NpcComOnFailure#2,"""/face4 ああ……リリーパ族、かわいそう……<br>護衛失敗です、通常任務に<br>復帰してくださいー。"""
NpcComOnFindPlayer#2,"""あれが、目標地点みたいですね！"""
NpcComOnFindLilipa#2,"""おやっ、リリーパ族が目標地点を<br>見つけたみたいですよー！"""
NpcComOnArrivalFirst#2,"""リリーパ族が発掘をはじめました！<br>敵さんが来るかもしれないので<br>周囲を警戒してあげて下さいー！"""
NpcComOnArrivalNext#2,"""再びリリーパ族が発掘開始です！<br>さっきと同様、敵さんに警戒ですよー！"""
NpcComOnArrivalFinal#2,"""ここが最後の目的地みたいですね！<br>しっかり守ってあげてくださいねっ！"""
NpcComOnSearchFailure#2,"""この地点はハズレ、みたいです。<br>次の場所に向かうようですよー。"""
NpcComOnJoin#2,"""現在、リリーパ族の護衛任務を<br>遂行中ですー！\u3000可能なら合流して<br>任務に参加して下さいねっ！"""
OnFun#0,"""り！り！"""
OnFind#0,"""/mn38  りり！"""
OnDrop#0,"""りり！？"""
OnDamage#0,"""/mn2 りり……"""
OnMove#0,"""/mn17 りりりっ！\u3000りりりっ！"""
OnSuccess#0,"""/ci2 1 /mn38 りり！\u3000りりり！"""
OnDie#0,"""りぃ……りりり……"""
